instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,catalogue_role,catalogue_seed,pp_low_level_searches,pp_agents_planned
AR0204SR_HO_n05_medium_000,5,medium,spf_cd,"[1, 0, 3, 4, 2]","[1, 0, 3, 4, 2]","[0, 0, 1, 1, 2]",2,2,5,"[0, 0, 1, 1, 2]",True,success,5916.446499992162,6165.886100032367,12082.332600024529,1343,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_001,5,medium,cdf_h,"[0, 2, 3, 4, 1]","[0, 2, 3, 4, 1]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,4135.188900050707,4224.950200063176,8360.139100113884,1036,462,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_001,5,medium,cdf_l,"[3, 4, 1, 0, 2]","[3, 4, 1, 0, 2]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,4115.634299931116,4183.6370000382885,8299.271299969405,1036,462,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_001,5,medium,spf_cd,"[3, 0, 4, 1, 2]","[3, 0, 4, 1, 2]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,4160.773999989033,4174.354300019331,8335.128300008364,1036,462,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_002,5,medium,cdf_h,"[0, 2, 4, 3, 1]","[0, 2, 4, 3, 1]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,10953.013199963607,11003.788199974224,21956.80139993783,1579,415,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_002,5,medium,cdf_l,"[4, 3, 1, 0, 2]","[4, 3, 1, 0, 2]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,10800.384299946018,11029.252300038934,21829.63659998495,1579,415,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_002,5,medium,spf_cd,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,10819.147999980487,11219.868500018492,22039.01649999898,1579,415,0,,held_out_validation,2027,5,5
AR0204SR_HO_n10_high_000,10,high,cdf_h,"[0, 1, 8, 9, 5, 3, 2, 4, 6, 7]","[0, 1, 8, 9, 5, 3, 2, 4, 6, 7]","[4, 2, 0, 1, 0, 1, 0, 0, 1, 1]",5,5,10,"[4, 2, 0, 1, 0, 1, 0, 0, 1, 1]",True,success,14004.782499978319,14172.078100033104,28176.860600011423,2522,494,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_000,10,high,cdf_l,"[2, 4, 6, 7, 8, 9, 5, 3, 1, 0]","[2, 4, 6, 7, 8, 9, 5, 3, 1, 0]","[4, 2, 0, 1, 0, 1, 0, 0, 1, 1]",5,5,10,"[4, 2, 0, 1, 0, 1, 0, 0, 1, 1]",True,success,14179.245500010438,39177.564499899745,53356.80999991018,2786,494,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_000,10,high,spf_cd,"[0, 2, 4, 6, 7, 1, 8, 9, 5, 3]","[0, 2, 4, 6, 7, 1, 8, 9, 5, 3]","[4, 2, 0, 1, 0, 1, 0, 0, 1, 1]",5,5,10,"[4, 2, 0, 1, 0, 1, 0, 0, 1, 1]",True,success,14214.663699967787,14372.88979999721,28587.553499964997,2522,494,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_001,10,high,cdf_h,"[7, 4, 9, 8, 0, 2, 3, 6, 1, 5]","[7, 4, 9, 8, 0, 2, 3, 6, 1, 5]","[0, 0, 0, 0, 2, 0, 0, 2, 0, 2]",97,3,10,"[0, 0, 0, 0, 96, 0, 0, 2, 0, 96]",True,success,42258.0666000722,42715.835400042124,84973.90200011432,2898,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_001,10,high,cdf_l,"[8, 0, 2, 3, 6, 1, 5, 7, 4, 9]","[8, 0, 2, 3, 6, 1, 5, 7, 4, 9]","[0, 0, 0, 0, 2, 0, 0, 2, 0, 2]",97,3,10,"[0, 0, 0, 0, 96, 0, 0, 2, 0, 96]",True,success,42847.053200006485,43709.51880002394,86556.57200003043,2898,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_001,10,high,spf_cd,"[8, 0, 2, 3, 6, 1, 7, 5, 4, 9]","[8, 0, 2, 3, 6, 1, 7, 5, 4, 9]","[0, 0, 0, 0, 2, 0, 0, 2, 0, 2]",97,3,10,"[0, 0, 0, 0, 96, 0, 0, 2, 0, 96]",True,success,43710.866699926555,41979.93249993306,85690.79919985961,2898,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_002,10,high,cdf_h,"[8, 4, 2, 0, 9, 1, 3, 6, 5, 7]","[8, 4, 2, 0, 9, 1, 3, 6, 5, 7]","[1, 0, 1, 0, 1, 0, 0, 0, 3, 0]",3,3,10,"[1, 0, 1, 0, 1, 0, 0, 0, 3, 0]",True,success,22441.011600079946,22611.508900066838,45052.520500146784,3249,409,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_002,10,high,cdf_l,"[9, 1, 3, 6, 5, 7, 4, 2, 0, 8]","[9, 1, 3, 6, 5, 7, 4, 2, 0, 8]","[1, 0, 1, 0, 1, 0, 0, 0, 3, 0]",3,3,10,"[1, 0, 1, 0, 1, 0, 0, 0, 3, 0]",True,success,22520.42519999668,22752.967300009914,45273.392500006594,3249,409,0,,held_out_validation,2027,10,10
