instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_low_001,5,low,13,625002538851937428,"[0, 1, 2, 3, 4]",2026,True,success,13502.421899931505,868,271,0,5,5
AR0204SR_n05_low_001,5,low,14,8095440207510687038,"[1, 4, 3, 2, 0]",2026,True,success,13295.172000071034,868,271,0,5,5
AR0204SR_n05_low_001,5,low,15,5346046908840917064,"[2, 3, 4, 1, 0]",2026,True,success,13148.246199940331,868,271,0,5,5
AR0204SR_n05_low_001,5,low,16,4130265466101360625,"[0, 3, 1, 4, 2]",2026,True,success,13099.00720010046,868,271,0,5,5
AR0204SR_n05_low_001,5,low,17,1974231059666657637,"[4, 0, 2, 3, 1]",2026,True,success,13290.325499954633,868,271,0,5,5
AR0204SR_n05_low_001,5,low,18,4260854626501187061,"[1, 0, 3, 2, 4]",2026,True,success,13131.851800018921,868,271,0,5,5
AR0204SR_n05_low_001,5,low,19,83392090167295205,"[3, 4, 0, 2, 1]",2026,True,success,13025.998300057836,868,271,0,5,5
AR0204SR_n05_low_002,5,low,10,7097426905417116558,"[3, 2, 1, 0, 4]",2026,True,success,2138.703800039366,878,320,0,5,5
AR0204SR_n05_low_002,5,low,11,886067983074962493,"[0, 2, 3, 4, 1]",2026,True,success,2037.8974999766797,878,320,0,5,5
AR0204SR_n05_low_002,5,low,12,8751104181868686096,"[4, 2, 0, 1, 3]",2026,True,success,2025.8486999664456,878,320,0,5,5
AR0204SR_n05_low_002,5,low,13,6542700079568162770,"[0, 2, 1, 3, 4]",2026,True,success,2028.6830000113696,878,320,0,5,5
AR0204SR_n05_low_002,5,low,14,1908598653569040030,"[1, 3, 2, 4, 0]",2026,True,success,2085.366699961014,878,320,0,5,5
AR0204SR_n05_low_002,5,low,15,3985557072179992698,"[2, 3, 1, 0, 4]",2026,True,success,2038.524999981746,878,320,0,5,5
AR0204SR_n05_low_002,5,low,16,8645294720026252574,"[4, 2, 3, 0, 1]",2026,True,success,2000.2044999273494,878,320,0,5,5
AR0204SR_n05_low_002,5,low,17,6668696362591051568,"[1, 0, 4, 2, 3]",2026,True,success,2087.6819000113755,878,320,0,5,5
AR0204SR_n05_low_002,5,low,18,4505264987974244579,"[3, 2, 0, 1, 4]",2026,True,success,2018.6950999777764,878,320,0,5,5
AR0204SR_n05_low_002,5,low,19,3592595217101406172,"[4, 0, 2, 3, 1]",2026,True,success,2008.1381000345573,878,320,0,5,5
AR0204SR_n05_medium_000,5,medium,10,4043228935499013753,"[3, 1, 4, 0, 2]",2026,True,success,3652.8098999988288,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,11,4819116049811085711,"[1, 3, 4, 0, 2]",2026,True,success,3694.4620000431314,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,12,592722633620338397,"[1, 4, 3, 0, 2]",2026,True,success,3985.5806999839842,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,13,7436124496999623850,"[3, 2, 1, 4, 0]",2026,True,success,3846.1370000150055,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,14,4765130193574078742,"[1, 0, 3, 2, 4]",2026,True,success,3754.0018999716267,1299,398,0,5,5
