algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
HPA*,0,100.14213562,True,96,100.14213562373094,0,3.9983000024221838,1109.437800012529,0,0,96,100.14213562373094,,0,1,0.0,0.0,0.0,3.992800018750131
HPA*,1,100.08326111,True,87,100.66904755831206,6,199.3215000256896,1109.437800012529,6,5,87,100.66904755831206,,0,10,0.0,0.054800009820610285,0.00589998671784997,199.29920003050938
HPA*,2,100.3969696,True,82,99.811183182043,0,14.065600000321865,1109.437800012529,0,0,82,99.811183182043,,0,1,0.0,0.0,0.0,14.061000023502856
HPA*,3,103.91168823,True,89,103.91168824543132,0,3.3790000015869737,1109.437800012529,0,0,89,103.91168824543132,,0,1,0.0,0.0,0.0,3.374899970367551
HPA*,4,102.61017303,True,78,102.02438661763942,4,40.16050003701821,1109.437800012529,4,3,78,102.02438661763942,,1,9,0.1,0.047200010158121586,0.0038999714888632298,40.14080000342801
HPA*,5,102.94112549,True,93,107.08326112068517,4,16.752099967561662,1109.437800012529,4,3,93,107.08326112068517,,0,6,0.0,0.03809999907389283,0.003500026650726795,16.73749997280538
HPA*,6,102.76955261,True,92,102.76955262170041,4,14.011999999638647,1109.437800012529,4,3,92,102.76955262170041,,0,5,0.0,0.03559998003765941,0.0027999631129205227,13.9981999527663
HPA*,7,102.52691193,True,93,105.0121933088197,4,7.6500000432133675,1109.437800012529,4,3,93,105.0121933088197,,0,4,0.0,0.025900022592395544,0.0023999600671231747,7.63619999634102
HPA*,8,103.49747467,True,90,108.22539674441609,4,46.10149998916313,1109.437800012529,4,3,90,108.22539674441609,,0,5,0.0,0.03389996709302068,0.004200031980872154,46.07320000650361
HPA*,9,101.14213562,True,97,101.14213562373092,4,16.57600002363324,1109.437800012529,4,3,97,101.14213562373092,,0,5,0.0,0.032299954909831285,0.004100031219422817,16.56120002735406
HPA*,10,107.46803741,True,88,113.26702730475866,4,231.86870000790805,1109.437800012529,4,3,88,113.26702730475866,,0,12,0.0,0.07339997682720423,0.004299974534660578,231.8436999921687
HPA*,11,105.56854248,True,99,111.42640687119277,4,12.398199993185699,1109.437800012529,4,3,99,111.42640687119277,,0,5,0.0,0.03279995871707797,0.00300002284348011,12.381999986246228
HPA*,12,105.85281372,True,81,105.85281374238558,6,206.1045000446029,1109.437800012529,6,5,81,105.85281374238558,,0,11,0.0,0.056200020480901,0.004699977580457926,206.0854000155814
HPA*,13,106.25483398,True,94,106.84062043356587,4,10.28669998049736,1109.437800012529,4,3,94,106.84062043356587,,0,4,0.0,0.028800044674426317,0.003300025127828121,10.272999992594123
HPA*,14,107.68124084,True,82,107.68124086713176,0,5.574799957685173,1109.437800012529,0,0,82,107.68124086713176,,0,1,0.0,0.0,0.0,5.570299981627613
HPA*,15,106.53910522,True,84,105.95331880577393,4,209.97510000597686,1109.437800012529,4,3,84,105.95331880577393,,0,10,0.0,0.06490002851933241,0.004799978341907263,209.95140000013635
HPA*,16,106.19595947,True,87,108.53910524340083,8,182.76269995840266,1109.437800012529,8,5,87,108.53910524340083,,0,11,0.0,0.15570002142339945,0.009999959729611874,182.70269996719435
HPA*,17,107.41421356,True,107,121.49747468305826,4,14.295000000856817,1109.437800012529,4,3,107,121.49747468305826,,0,4,0.0,0.04150002496317029,0.0034999684430658817,14.277299982495606
HPA*,18,104.07106781,True,102,114.01219330881969,4,12.594799976795912,1109.437800012529,4,3,102,114.01219330881969,,0,5,0.0,0.049600028432905674,0.0031999661587178707,12.578999972902238
HPA*,19,104.29646454,True,84,108.43860018001251,4,251.21479999506846,1109.437800012529,4,3,84,108.43860018001251,,0,14,0.0,0.069500005338341,0.005099980626255274,251.18630001088604
HPA*,20,108.43860016,True,88,110.78174593052013,8,187.72180000087246,1109.437800012529,8,5,88,110.78174593052013,,0,11,0.0,0.07080001523718238,0.004199973773211241,187.69869999960065
HPA*,21,108.24264069,True,107,108.24264068711928,0,2.211000013630837,1109.437800012529,0,0,107,108.24264068711928,,0,1,0.0,0.0,0.0,2.2055000299587846
HPA*,22,111.91168823,True,108,120.84062043356586,4,205.50209999782965,1109.437800012529,4,3,108,120.84062043356586,,0,10,0.0,0.060699996538460255,0.004100031219422817,205.48050000797957
HPA*,23,108.09545441,True,84,109.26702730475868,6,176.7091000219807,1109.437800012529,6,5,84,109.26702730475868,,0,11,0.0,0.06890000076964498,0.005100038833916187,176.68590001994744
HPA*,24,109.12489166,True,88,114.92388155425104,4,245.7120000035502,1109.437800012529,4,3,88,114.92388155425104,,0,12,0.0,0.05960004637017846,0.0034999684430658817,245.69090001750737
HPA*,25,108.46803741,True,88,112.0243866176394,6,256.6141999559477,1109.437800012529,6,3,88,112.0243866176394,,0,14,0.0,0.07609999738633633,0.005499983672052622,256.5846999641508
HPA*,26,109.55634918,True,105,117.01219330881969,4,62.149600009433925,1109.437800012529,4,3,105,117.01219330881969,,0,8,0.0,0.0513000413775444,0.0036999699659645557,62.13079998269677
HPA*,27,108.08326111,True,98,116.22539674441612,8,206.27510000485927,1109.437800012529,8,5,98,116.22539674441612,,0,10,0.0,0.0673000467941165,0.00600004568696022,206.24700002372265
HPA*,28,110.81118317,True,93,115.78174593052012,6,235.84789998130873,1109.437800012529,6,3,93,115.78174593052012,,0,14,0.0,0.06809999467805028,0.0048999791033566,235.82369997166097
HPA*,29,109.04163055,True,102,109.04163056034257,4,210.9805000363849,1109.437800012529,4,3,102,109.04163056034257,,0,10,0.0,0.05180004518479109,0.004099973011761904,210.9560000244528
HPA*,30,112.4091629,True,92,117.68124086713178,6,416.72710003331304,1109.437800012529,6,5,92,117.68124086713178,,0,14,0.0,0.07609999738633633,0.006399990525096655,416.6906999889761
HPA*,31,115.74011536,True,100,115.74011537017753,4,23.16650003194809,1109.437800012529,4,3,100,115.74011537017753,,0,5,0.0,0.0418000272475183,0.004599976819008589,23.149600019678473
HPA*,32,112.05382385,True,113,131.22539674441612,6,11.38159999391064,1109.437800012529,6,5,113,131.22539674441612,,0,5,0.0,0.027900037821382284,0.0029999646358191967,11.364799982402474
HPA*,33,112.43860016,True,89,113.02438661763938,8,178.22000000160187,1109.437800012529,8,5,89,113.02438661763938,,0,11,0.0,0.07339997682720423,0.004600035026669502,178.1988000147976
HPA*,34,115.25483398,True,101,114.66904755831206,0,18.826099985744804,1109.437800012529,0,0,101,114.66904755831206,,0,1,0.0,0.0,0.0,18.821600009687245
HPA*,35,115.32590179,True,103,117.0832611206852,4,132.91400001617149,1109.437800012529,4,3,103,117.0832611206852,,0,9,0.0,0.05749997217208147,0.00400003045797348,132.89459998486564
HPA*,36,112.91168823,True,98,112.91168824543134,0,3.265800012741238,1109.437800012529,0,0,98,112.91168824543134,,0,1,0.0,0.0,0.0,3.262299986090511
HPA*,37,112.6984848,True,111,117.62741699796948,4,197.38139997934923,1109.437800012529,4,3,111,117.62741699796948,,0,14,0.0,0.05530001362785697,0.004699977580457926,197.35609996132553
HPA*,38,114.49747467,True,100,119.46803743153535,4,12.296899978537112,1109.437800012529,4,3,100,119.46803743153535,,0,4,0.0,0.04549999721348286,0.003800028935074806,12.279800022952259
HPA*,39,112.11269836,True,109,121.42640687119277,4,198.90099996700883,1109.437800012529,4,3,109,121.42640687119277,,0,12,0.0,0.058399979025125504,0.004499976057559252,198.87959997868165
HPA*,40,119.50966797,True,90,117.75230867899724,0,6.316400016658008,1109.437800012529,0,0,90,117.75230867899724,,0,1,0.0,0.0,0.0,6.312200042884797
HPA*,41,119.48023071,True,87,118.89444430272817,6,213.21110002463683,1109.437800012529,6,5,87,118.89444430272817,,0,11,0.0,0.07090001599863172,0.005299982149153948,213.18090002750978
HPA*,42,116.43860016,True,96,118.78174593052013,4,23.437199997715652,1109.437800012529,4,3,96,118.78174593052013,,0,5,0.0,0.045599997974932194,0.0036999699659645557,23.41829997021705
HPA*,43,119.35533905,True,110,119.94112549695423,6,205.99320001201704,1109.437800012529,6,3,110,119.94112549695423,,0,11,0.0,0.06379996193572879,0.004999979864805937,205.9729999746196
HPA*,44,116.49747467,True,102,116.49747468305823,4,16.214200004469603,1109.437800012529,4,3,102,116.49747468305823,,0,5,0.0,0.037699996028095484,0.003400025889277458,16.199000005144626
HPA*,45,118.81118317,True,117,128.18376618407353,12,296.3338000117801,1109.437800012529,12,8,117,128.18376618407353,,0,10,0.0,0.0803999719209969,0.006399990525096655,296.30159999942407
HPA*,46,119.25483398,True,106,119.25483399593895,0,18.243299971800297,1109.437800012529,0,0,106,119.25483399593895,,0,1,0.0,0.0,0.0,18.236399977467954
HPA*,47,116.46803741,True,116,135.88225099390849,8,108.82750002201647,1109.437800012529,8,7,116,135.88225099390849,,0,10,0.0,0.0800999696366489,0.008100003469735384,108.77370001981035
HPA*,48,118.68124084,True,92,118.0954544295049,0,15.57780004804954,1109.437800012529,0,0,92,118.0954544295049,,0,1,0.0,0.0,0.0,15.571099997032434
HPA*,49,118.28427124,True,114,136.36753236814707,6,27.72939996793866,1109.437800012529,6,3,114,136.36753236814707,,0,5,0.0,0.05549995694309473,0.003700028173625469,27.70909998798743
HPA*,50,122.12489166,True,117,132.32590180780448,4,36.38959996169433,1109.437800012529,4,3,117,132.32590180780448,,0,5,0.0,0.05050003528594971,0.0035999692045152187,36.37019998859614
HPA*,51,122.50966797,True,96,122.50966799187792,0,3.713599988259375,1109.437800012529,0,0,96,122.50966799187792,,0,1,0.0,0.0,0.0,3.710600023623556
HPA*,52,122.66904755,True,109,127.63961030678915,6,263.8149000122212,1109.437800012529,6,3,109,127.63961030678915,,0,14,0.0,0.06529997335746884,0.005599984433501959,263.7844000128098
HPA*,53,120.22539673,True,128,138.76955262170046,4,15.568799979519099,1109.437800012529,4,3,128,138.76955262170046,,0,5,0.0,0.04610000178217888,0.00400003045797348,15.54950000718236
HPA*,54,121.32590179,True,106,121.32590180780443,4,218.79529999569058,1109.437800012529,4,3,106,121.32590180780443,,0,10,0.0,0.06459996802732348,0.004400033503770828,218.76700001303107
HPA*,55,123.3969696,True,106,126.71067811865463,4,11.505700007546693,1109.437800012529,4,3,106,126.71067811865463,,0,4,0.0,0.03409996861591935,0.002700020559132099,11.489700002130121
HPA*,56,123.96551208,True,91,124.55129855222054,4,238.53680002503097,1109.437800012529,4,3,91,124.55129855222054,,0,14,0.0,0.06720004603266716,0.004700035788118839,238.50710003171116
