catalogue,instance_id,agent_count,interaction_level,spf_soc,spf_cd_soc,soc_equal,spf_makespan,spf_cd_makespan,makespan_equal,same_priority_order,spf_agent_order,spf_cd_original_index_order,instance_count,identical_soc,identical_makespan,identical_ordering,differing_ordering
primary,AR0204SR_n20_high_002,20,high,4829,4829,True,512,512,True,True,"[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]","[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]",,,,,
held_out,AR0204SR_HO_n05_low_000,5,low,1469,1469,True,393,393,True,True,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]",,,,,
held_out,AR0204SR_HO_n05_low_001,5,low,1710,1710,True,503,503,True,True,"[4, 3, 1, 0, 2]","[4, 3, 1, 0, 2]",,,,,
held_out,AR0204SR_HO_n05_low_002,5,low,1242,1242,True,363,363,True,True,"[3, 2, 1, 4, 0]","[3, 2, 1, 4, 0]",,,,,
held_out,AR0204SR_HO_n05_medium_000,5,medium,1343,1343,True,393,393,True,True,"[1, 0, 3, 4, 2]","[1, 0, 3, 4, 2]",,,,,
held_out,AR0204SR_HO_n05_medium_001,5,medium,1036,1036,True,462,462,True,True,"[3, 0, 4, 1, 2]","[3, 0, 4, 1, 2]",,,,,
held_out,AR0204SR_HO_n05_medium_002,5,medium,1579,1579,True,415,415,True,True,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]",,,,,
held_out,AR0204SR_HO_n05_high_000,5,high,1540,1540,True,509,509,True,True,"[4, 3, 2, 0, 1]","[4, 3, 2, 0, 1]",,,,,
held_out,AR0204SR_HO_n05_high_001,5,high,1699,1699,True,494,494,True,True,"[2, 3, 1, 0, 4]","[2, 3, 1, 0, 4]",,,,,
held_out,AR0204SR_HO_n05_high_002,5,high,1842,1842,True,470,470,True,True,"[3, 1, 4, 0, 2]","[3, 1, 4, 0, 2]",,,,,
held_out,AR0204SR_HO_n10_low_000,10,low,2810,2810,True,486,486,True,True,"[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]",,,,,
held_out,AR0204SR_HO_n10_low_001,10,low,3330,3330,True,462,462,True,True,"[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]",,,,,
held_out,AR0204SR_HO_n10_low_002,10,low,2831,2831,True,471,471,True,True,"[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]",,,,,
held_out,AR0204SR_HO_n10_medium_000,10,medium,2925,2925,True,509,509,True,True,"[3, 1, 5, 7, 8, 6, 9, 4, 2, 0]","[3, 1, 5, 7, 8, 6, 9, 4, 2, 0]",,,,,
held_out,AR0204SR_HO_n10_medium_001,10,medium,2546,2546,True,496,496,True,True,"[8, 4, 5, 9, 6, 2, 0, 7, 3, 1]","[8, 4, 5, 9, 6, 2, 0, 7, 3, 1]",,,,,
held_out,AR0204SR_HO_n10_medium_002,10,medium,3044,3044,True,462,462,True,True,"[7, 0, 2, 9, 3, 6, 5, 8, 4, 1]","[7, 0, 2, 9, 3, 6, 5, 8, 4, 1]",,,,,
held_out,AR0204SR_HO_n10_high_000,10,high,2522,2522,True,494,494,True,True,"[0, 2, 4, 6, 7, 1, 8, 9, 5, 3]","[0, 2, 4, 6, 7, 1, 8, 9, 5, 3]",,,,,
held_out,AR0204SR_HO_n10_high_001,10,high,2898,2898,True,471,471,True,True,"[8, 0, 2, 3, 6, 1, 7, 5, 4, 9]","[8, 0, 2, 3, 6, 1, 7, 5, 4, 9]",,,,,
