instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_medium_001,5,medium,cdf_l,"[0, 3, 1, 2, 4]","[0, 3, 1, 2, 4]","[0, 0, 1, 0, 1]",1,1,5,"[0, 0, 1, 0, 1]",True,success,9041.321799973957,9079.709599958733,18121.03139993269,1291,333,0,,5,5
AR0204SR_n05_medium_001,5,medium,spf_cd,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]","[0, 0, 1, 0, 1]",1,1,5,"[0, 0, 1, 0, 1]",True,success,8960.765700088814,9201.654399977997,18162.42010006681,1291,333,0,,5,5
AR0204SR_n05_medium_002,5,medium,cdf_h,"[4, 2, 3, 0, 1]","[4, 2, 3, 0, 1]","[0, 0, 1, 0, 1]",1,1,5,"[0, 0, 1, 0, 1]",True,success,26287.95030002948,27350.296199903823,53638.2464999333,1396,490,0,,5,5
AR0204SR_n05_medium_002,5,medium,cdf_l,"[3, 0, 1, 4, 2]","[3, 0, 1, 4, 2]","[0, 0, 1, 0, 1]",1,1,5,"[0, 0, 1, 0, 1]",True,success,26207.671800046228,26978.900699992664,53186.57250003889,1396,490,0,,5,5
AR0204SR_n05_medium_002,5,medium,spf_cd,"[3, 0, 4, 2, 1]","[3, 0, 4, 2, 1]","[0, 0, 1, 0, 1]",1,1,5,"[0, 0, 1, 0, 1]",True,success,26241.315299994312,27020.929399994202,53262.244699988514,1396,490,0,,5,5
AR0204SR_n10_high_000,10,high,cdf_h,"[1, 7, 6, 3, 5, 2, 8, 4, 9, 0]","[1, 7, 6, 3, 5, 2, 8, 4, 9, 0]","[0, 4, 2, 3, 1, 2, 3, 4, 1, 0]",10,10,10,"[0, 4, 2, 3, 1, 2, 3, 4, 1, 0]",True,success,17629.272500053048,24097.39430004265,41726.6668000957,2550,511,0,,10,10
AR0204SR_n10_high_000,10,high,cdf_l,"[9, 0, 8, 4, 5, 2, 6, 3, 1, 7]","[9, 0, 8, 4, 5, 2, 6, 3, 1, 7]","[0, 4, 2, 3, 1, 2, 3, 4, 1, 0]",10,10,10,"[0, 4, 2, 3, 1, 2, 3, 4, 1, 0]",True,success,17458.36920000147,17817.15899996925,35275.52819997072,2485,511,0,,10,10
AR0204SR_n10_high_000,10,high,spf_cd,"[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]","[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]","[0, 4, 2, 3, 1, 2, 3, 4, 1, 0]",10,10,10,"[0, 4, 2, 3, 1, 2, 3, 4, 1, 0]",True,success,17643.75879999716,18048.909799894318,35692.668599891476,2487,511,0,,10,10
AR0204SR_n10_high_001,10,high,cdf_h,"[4, 5, 2, 6, 9, 0, 1, 8, 7, 3]","[4, 5, 2, 6, 9, 0, 1, 8, 7, 3]","[0, 0, 1, 0, 3, 1, 1, 0, 0, 0]",3,3,10,"[0, 0, 1, 0, 3, 1, 1, 0, 0, 0]",True,success,35719.64599995408,57748.53320000693,93468.17919996101,3181,512,0,,10,10
AR0204SR_n10_high_001,10,high,cdf_l,"[9, 0, 1, 8, 7, 3, 5, 2, 6, 4]","[9, 0, 1, 8, 7, 3, 5, 2, 6, 4]","[0, 0, 1, 0, 3, 1, 1, 0, 0, 0]",3,3,10,"[0, 0, 1, 0, 3, 1, 1, 0, 0, 0]",True,success,36091.79989993572,36550.92169996351,72642.72159989923,2962,512,0,,10,10
