map_name,manifest_sha256,instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned,error_message,catalogue_seed
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_000,5,high,spf,"[2, 4, 0, 3, 1]","[2, 4, 0, 3, 1]",,,,,,True,success,28610.811499878764,28423.671399941668,57034.48289982043,1862,493,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_000,5,high,cdf_h,"[0, 2, 4, 3, 1]","[0, 2, 4, 3, 1]","[4, 1, 1, 1, 1]",4,4,5,"[4, 1, 1, 1, 1]",True,success,28502.133100060746,28539.561999961734,57041.69510002248,1862,493,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_000,5,high,cdf_l,"[2, 4, 3, 1, 0]","[2, 4, 3, 1, 0]","[4, 1, 1, 1, 1]",4,4,5,"[4, 1, 1, 1, 1]",True,success,28283.769000088796,28445.604200009257,56729.37320009805,1862,493,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_000,5,high,spf_cd,"[2, 4, 0, 3, 1]","[2, 4, 0, 3, 1]","[4, 1, 1, 1, 1]",4,4,5,"[4, 1, 1, 1, 1]",True,success,28473.214199999347,28394.377999939024,56867.59219993837,1862,493,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_001,5,high,spf,"[4, 0, 2, 3, 1]","[4, 0, 2, 3, 1]",,,,,,True,success,60171.494599897414,60777.804099954665,120949.29869985208,1861,476,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_001,5,high,cdf_h,"[0, 3, 4, 2, 1]","[0, 3, 4, 2, 1]","[2, 0, 1, 2, 1]",3,3,5,"[2, 0, 1, 2, 1]",True,success,59922.861400060356,60841.81519993581,120764.67659999616,1861,476,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_001,5,high,cdf_l,"[1, 4, 2, 0, 3]","[1, 4, 2, 0, 3]","[2, 0, 1, 2, 1]",3,3,5,"[2, 0, 1, 2, 1]",True,success,59681.98790005408,60773.21680006571,120455.2047001198,1861,476,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_001,5,high,spf_cd,"[4, 0, 2, 3, 1]","[4, 0, 2, 3, 1]","[2, 0, 1, 2, 1]",3,3,5,"[2, 0, 1, 2, 1]",True,success,60024.67529987916,61295.12080014683,121319.796100026,1861,476,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_002,5,high,spf,"[0, 4, 1, 3, 2]","[0, 4, 1, 3, 2]",,,,,,True,success,25447.208000114188,25731.46990011446,51178.67790022865,1735,460,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_002,5,high,cdf_h,"[1, 3, 4, 2, 0]","[1, 3, 4, 2, 0]","[0, 2, 1, 2, 1]",3,3,5,"[0, 2, 1, 2, 1]",True,success,25396.078099962324,25826.269999844953,51222.34809980728,1735,460,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_002,5,high,cdf_l,"[0, 4, 2, 1, 3]","[0, 4, 2, 1, 3]","[0, 2, 1, 2, 1]",3,3,5,"[0, 2, 1, 2, 1]",True,success,25619.65800006874,25928.750700084493,51548.40870015323,1735,460,0,5,5,,2029
AR0307SR,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,AR0307SR_n05_high_002,5,high,spf_cd,"[0, 4, 1, 3, 2]","[0, 4, 1, 3, 2]","[0, 2, 1, 2, 1]",3,3,5,"[0, 2, 1, 2, 1]",True,success,25496.814999962226,25935.072700027376,51431.8876999896,1735,460,0,5,5,,2029
