manifest_sha256,map_name,catalogue_role,catalogue_seed,instance_id,method,success,termination_reason,selected_candidate_id,selected_agent_order_json,soc,makespan,final_conflict_count,additional_pp_eval_count,logical_pp_candidate_count,logical_runtime_ms,baseline_spf_pp_time_ms,method_specific_runtime_ms
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_medium_001,spf,True,success,0,"[3, 4, 2, 0, 1]",1164,472,0,0,1,60129.594400001224,30330.200700002024,30330.200700002024
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_medium_001,cglps,True,success,0,"[3, 4, 2, 0, 1]",1164,472,0,1,2,102269.01720001479,30330.200700002024,42135.9550000052
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_medium_001,ubls,True,success,0,"[3, 4, 2, 0, 1]",1164,472,0,1,2,90643.2797999878,30330.200700002024,30513.68539998657
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_medium_002,spf,True,success,0,"[1, 3, 2, 0, 4]",1324,512,0,0,1,93778.3250999637,47355.177099991124,47355.177099991124
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_medium_002,cglps,True,success,0,"[1, 3, 2, 0, 4]",1324,512,0,1,2,141081.58109997748,47355.177099991124,47299.08600001363
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_medium_002,ubls,True,success,0,"[1, 3, 2, 0, 4]",1324,512,0,1,2,140640.36069996655,47355.177099991124,46862.035600002855
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_000,spf,True,success,0,"[5, 0, 2, 1, 6, 8, 7, 3, 4, 9]",3409,481,0,0,1,194371.6856999963,97727.39640000509,97727.39640000509
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_000,cglps,True,success,0,"[5, 0, 2, 1, 6, 8, 7, 3, 4, 9]",3409,481,0,4,5,584274.9634999782,97727.39640000509,389886.6817999806
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_000,ubls,True,success,0,"[5, 0, 2, 1, 6, 8, 7, 3, 4, 9]",3409,481,0,4,5,584937.6852999849,97727.39640000509,390565.9995999886
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_001,spf,True,success,0,"[5, 0, 3, 2, 1, 8, 9, 6, 4, 7]",3252,503,0,0,1,192102.92849998223,96712.63409999665,96712.63409999665
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_001,cglps,True,success,0,"[5, 0, 3, 2, 1, 8, 9, 6, 4, 7]",3252,503,0,3,4,488696.6869000171,96712.63409999665,296576.29100003396
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_001,ubls,True,success,0,"[5, 0, 3, 2, 1, 8, 9, 6, 4, 7]",3252,503,0,3,4,498999.1578999907,96712.63409999665,306896.22940000845
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_002,spf,True,success,0,"[5, 7, 0, 8, 4, 3, 2, 1, 6, 9]",2290,497,0,0,1,90289.06490001827,45415.354700002354,45415.354700002354
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_002,cglps,True,success,0,"[5, 7, 0, 8, 4, 3, 2, 1, 6, 9]",2290,497,0,4,5,272278.55940000154,45415.354700002354,181973.139299982
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_high_002,ubls,True,success,0,"[5, 7, 0, 8, 4, 3, 2, 1, 6, 9]",2290,497,0,4,5,271688.44810003066,45415.354700002354,181399.38320001238
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_000,spf,True,success,0,"[0, 7, 9, 5, 1, 8, 4, 3, 6, 2]",2604,491,0,0,1,86574.89829996484,43572.61979999021,43572.61979999021
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_000,cglps,True,success,0,"[0, 7, 9, 5, 1, 8, 4, 3, 6, 2]",2604,491,0,0,1,86591.06779997819,43572.61979999021,0.0035999983083456755
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_000,ubls,True,success,0,"[0, 7, 9, 5, 1, 8, 4, 3, 6, 2]",2604,491,0,0,1,86574.9405999668,43572.61979999021,0.04230000195093453
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_001,spf,True,success,0,"[0, 2, 7, 9, 3, 5, 6, 4, 1, 8]",1803,322,0,0,1,14217.989700002363,7151.583099999698,7151.583099999698
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_001,cglps,True,success,0,"[0, 2, 7, 9, 3, 5, 6, 4, 1, 8]",1803,322,0,0,1,14228.384399990318,7151.583099999698,0.0025999906938523054
