map_name,catalogue_role,catalogue_seed,manifest_sha256,instance_id,agent_count,interaction_level,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,manifest_vertex_conflict_count,manifest_edge_conflict_count,manifest_independent_soc,manifest_independent_makespan,independent_conflict_count,conflicting_agent_pair_count,pair_event_counts_json,max_conflict_degree,spf_order_json,expected_a_i_from_manifest,actual_a_i,physical_pp_eval_count,budget_match_ok,preprocessing_success,termination_reason,error_message,independent_path_time_ms,conflict_detection_time_ms,spf_ordering_time_ms,baseline_spf_pp_time_ms,cglps_candidate_ranking_time_ms,cglps_additional_pp_time_ms,ubls_candidate_generation_time_ms,ubls_additional_pp_time_ms,physical_instance_wall_time_ms
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_high_000,5,high,241,1,241,0,1036,356,241,1,"{""1,3"": 241}",1,"[2, 0, 4, 1, 3]",1,1,3,True,True,success,,1923.3128000050783,3.0120999726932496,0.0052000104915350676,2016.0249999898952,0.009799987310543656,1964.1819999960717,0.04220000118948519,2023.4827999956906,7942.620799993165
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_high_001,5,high,3,3,2,1,1366,395,3,3,"{""2,4"": 1, ""0,3"": 1, ""3,4"": 1}",2,"[1, 0, 4, 2, 3]",3,3,7,True,True,success,,25679.91969999275,3.1058999884407967,0.008800008799880743,26060.86449997383,0.02609999501146376,77863.23359998642,0.04429998807609081,78239.11580001004,207869.6802999766
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_high_002,5,high,367,1,367,0,1831,498,367,1,"{""2,4"": 367}",1,"[3, 0, 1, 4, 2]",1,1,3,True,True,success,,76521.10139999422,4.5301000063773245,0.006599992047995329,77717.57809998235,0.011800002539530396,77690.11399999727,0.04370001261122525,78300.75450000004,310252.5201999815
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_low_000,5,low,0,0,0,0,1665,511,0,0,{},0,"[2, 3, 1, 4, 0]",0,0,1,True,True,success,,25056.430800003,4.202699987217784,0.010299991117790341,24731.030399998417,0.0052000104915350676,0,0.044800020987167954,0,49796.755999996094
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_low_001,5,low,0,0,0,0,1034,476,0,0,{},0,"[0, 2, 4, 1, 3]",0,0,1,True,True,success,,16465.897599991877,3.504399996018037,0.00589998671784997,16752.615499979584,0.0053000112529844046,0,0.0405999890062958,0,33226.98440001113
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_low_002,5,low,0,0,0,0,1609,489,0,0,{},0,"[1, 2, 3, 4, 0]",0,0,1,True,True,success,,53805.829800025094,3.946900018490851,0.006399990525096655,54843.41359999962,0.0039000005926936865,0,0.03480000304989517,0,108658.80889998516
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_medium_000,5,medium,2,2,0,2,1652,499,2,2,"{""3,4"": 1, ""1,4"": 1}",2,"[2, 3, 4, 0, 1]",2,2,5,True,True,success,,47672.91240001214,4.181600001174957,0.006499991286545992,48046.641900000395,0.02409997978247702,96158.5453999869,0.05530001362785697,96764.20240002335,288671.24249998596
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_medium_001,5,medium,1,1,1,0,1164,472,1,1,"{""0,3"": 1}",1,"[3, 4, 2, 0, 1]",1,1,3,True,True,success,,29799.3892999948,3.4678000083658844,0.0044000043999403715,30330.200700002024,0.015099998563528061,42135.93990000663,0.04320000880397856,30513.642199977767,132797.4317999906
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n05_medium_002,5,medium,1,1,0,1,1324,512,1,1,"{""2,4"": 1}",1,"[1, 3, 2, 0, 4]",1,1,3,True,True,success,,46423.142299987376,4.170000000158325,0.005699985194951296,47355.177099991124,0.011600001016631722,47299.074400012614,0.03809999907389283,46861.99750000378,187960.77999999397
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_high_000,10,high,6,6,2,4,3409,481,6,6,"{""4,6"": 1, ""6,7"": 1, ""3,6"": 1, ""4,9"": 1, ""7,9"": 1, ""3,9"": 1}",3,"[5, 0, 2, 1, 6, 8, 7, 3, 4, 9]",4,4,9,True,True,success,,96644.28229999612,16.596000001300126,0.006999995093792677,97727.39640000509,0.019800005247816443,389886.66199997533,0.05339999916031957,390565.9461999894,974996.762099996
