instance_id,agent_count,interaction_level,fixed_soc,random_soc_median,random_soc_min,random_soc_max,random_sampled_best_of_k_soc,random_sampled_best_of_k_note,spf_soc,lpf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,cbs_soc,spf_makespan,lpf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,fixed_makespan,observed_priority_sensitive,random_soc_range,random_unique_soc_count,random_makespan_range,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,cdf_h_agent_order,cdf_h_original_index_order,spf_agent_order,spf_cd_original_index_order
AR0204SR_n10_medium_002,10,medium,1960,1960.0,1960,1960,1960,sampled best-of-K diagnostic only,1960,1960,1960,1960,1960,1960,441,441,441,441,441,441,False,0,1,0,1,1,1,0.2,8,2,0.4,"[5, 3, 1, 2, 9, 7, 8, 0, 4, 6]","[5, 3, 1, 2, 9, 7, 8, 0, 4, 6]","[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]","[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]"
AR0204SR_n10_high_000,10,high,2509,2493.0,2485,2564,2485,sampled best-of-K diagnostic only,2487,2564,2550,2485,2487,,511,511,511,511,511,511,True,79,7,0,10,10,4,2,2,5,1.4142135623730951,"[1, 7, 6, 3, 5, 2, 8, 4, 9, 0]","[1, 7, 6, 3, 5, 2, 8, 4, 9, 0]","[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]","[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]"
AR0204SR_n10_high_001,10,high,3183,2962.0,2962,3183,2962,sampled best-of-K diagnostic only,2962,3181,3181,2962,2962,2962,512,512,512,512,512,512,True,221,3,0,3,3,3,0.6,6,3,0.916515138991168,"[4, 5, 2, 6, 9, 0, 1, 8, 7, 3]","[4, 5, 2, 6, 9, 0, 1, 8, 7, 3]","[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]","[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]"
AR0204SR_n10_high_002,10,high,3415,3415.0,3415,3458,3415,sampled best-of-K diagnostic only,3415,3458,3458,3415,3415,,481,481,481,481,481,481,True,43,2,0,4,4,3,0.8,5,4,0.9797958971132712,"[3, 4, 1, 8, 5, 2, 9, 7, 6, 0]","[3, 4, 1, 8, 5, 2, 9, 7, 6, 0]","[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]","[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]"
AR0204SR_n20_low_000,20,low,5607,5607.0,5607,5607,5607,sampled best-of-K diagnostic only,5607,5607,5607,5607,5607,5607,511,511,511,511,511,511,False,0,1,0,0,0,0,0,20,1,0.0,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]"
AR0204SR_n20_low_001,20,low,5969,5969.0,5969,5969,5969,sampled best-of-K diagnostic only,5969,5969,5969,5969,5969,5969,511,511,511,511,511,511,False,0,1,0,0,0,0,0,20,1,0.0,"[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]"
AR0204SR_n20_low_002,20,low,4726,4726.0,4726,4726,4726,sampled best-of-K diagnostic only,4726,4726,4726,4726,4726,4726,489,489,489,489,489,489,False,0,1,0,0,0,0,0,20,1,0.0,"[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]","[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]","[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]","[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]"
AR0204SR_n20_medium_000,20,medium,5192,5192.0,5190,5192,5190,sampled best-of-K diagnostic only,5192,5190,5192,5192,5192,5190,498,498,498,498,498,498,True,2,2,0,1,1,1,0.1,18,2,0.3,"[5, 13, 14, 1, 7, 11, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 18]","[5, 13, 14, 1, 7, 11, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 18]","[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]","[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]"
AR0204SR_n20_medium_001,20,medium,5428,5428.0,5428,5428,5428,sampled best-of-K diagnostic only,5428,5428,5428,5428,5428,5428,509,509,509,509,509,509,False,0,1,0,2,2,2,0.2,17,3,0.5099019513592785,"[13, 9, 7, 19, 11, 8, 18, 4, 16, 10, 17, 0, 1, 14, 12, 3, 6, 5, 15, 2]","[13, 9, 7, 19, 11, 8, 18, 4, 16, 10, 17, 0, 1, 14, 12, 3, 6, 5, 15, 2]","[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]","[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]"
AR0204SR_n20_medium_002,20,medium,5565,5565.0,5565,5565,5565,sampled best-of-K diagnostic only,5565,5565,5565,5565,5565,5565,471,471,471,471,471,471,False,0,1,0,1,1,1,0.1,18,2,0.3,"[10, 13, 15, 17, 7, 18, 3, 11, 8, 16, 12, 2, 0, 9, 4, 1, 19, 6, 14, 5]","[10, 13, 15, 17, 7, 18, 3, 11, 8, 16, 12, 2, 0, 9, 4, 1, 19, 6, 14, 5]","[15, 17, 7, 18, 3, 11, 8, 10, 16, 12, 2, 0, 9, 4, 1, 19, 6, 13, 14, 5]","[15, 17, 7, 18, 3, 11, 8, 10, 16, 12, 2, 0, 9, 4, 1, 19, 6, 13, 14, 5]"
AR0204SR_n20_high_000,20,high,4918,4918.0,4918,4918,4918,sampled best-of-K diagnostic only,4918,4918,4918,4918,4918,,455,455,455,455,455,455,False,0,1,0,49,7,4,0.7,10,4,0.9539392014169457,"[1, 3, 8, 6, 11, 15, 4, 2, 19, 7, 17, 10, 18, 5, 14, 9, 0, 13, 16, 12]","[1, 3, 8, 6, 11, 15, 4, 2, 19, 7, 17, 10, 18, 5, 14, 9, 0, 13, 16, 12]","[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]","[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]"
AR0204SR_n20_high_001,20,high,5461,5461.0,4742,5461,4742,sampled best-of-K diagnostic only,4742,5461,5157,5046,4742,,490,490,490,490,490,490,True,719,4,0,10,10,4,1,10,5,1.224744871391589,"[1, 15, 6, 7, 5, 0, 18, 11, 12, 14, 13, 2, 16, 19, 17, 9, 8, 4, 3, 10]","[1, 15, 6, 7, 5, 0, 18, 11, 12, 14, 13, 2, 16, 19, 17, 9, 8, 4, 3, 10]","[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]","[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]"
AR0204SR_n20_high_002,20,high,4829,4829.0,4829,4829,4829,sampled best-of-K diagnostic only,4829,4829,4829,4829,4829,,512,512,512,512,512,512,False,0,1,0,3,3,2,0.3,15,3,0.5567764362830022,"[8, 5, 4, 10, 6, 7, 12, 11, 17, 3, 0, 14, 15, 19, 13, 16, 9, 1, 2, 18]","[8, 5, 4, 10, 6, 7, 12, 11, 17, 3, 0, 14, 15, 19, 13, 16, 9, 1, 2, 18]","[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]","[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]"
