instance_id,agent_count,interaction_level,spf_ordering_time_ms,spf_pp_time_ms,spf_total_time_ms,cdf_h_ordering_time_ms,cdf_h_pp_time_ms,cdf_h_total_time_ms,cdf_l_ordering_time_ms,cdf_l_pp_time_ms,cdf_l_total_time_ms,spf_cd_ordering_time_ms,spf_cd_pp_time_ms,spf_cd_total_time_ms,cdf_h_ordering_minus_spf_ordering_ms,spf_cd_ordering_minus_spf_ordering_ms,metric_group,mean_spf_ordering_ms,median_spf_ordering_ms,mean_cdf_h_ordering_ms,median_cdf_h_ordering_ms,mean_cdf_l_ordering_ms,median_cdf_l_ordering_ms,mean_spf_cd_ordering_ms,median_spf_cd_ordering_ms,mean_spf_pp_ms,mean_cdf_h_pp_ms,mean_cdf_l_pp_ms,mean_spf_cd_pp_ms,mean_spf_total_ms,mean_cdf_h_total_ms,mean_cdf_l_total_ms,mean_spf_cd_total_ms,mean_spf_ordering_s,mean_cdf_h_ordering_s,mean_cdf_l_ordering_s,mean_spf_cd_ordering_s,mean_spf_pp_s,mean_cdf_h_pp_s,mean_cdf_l_pp_s,mean_spf_cd_pp_s,mean_ordering_delta_cdf_h_minus_spf_ms,mean_ordering_delta_spf_cd_minus_spf_ms,note
AR0204SR_n10_high_001,10,high,35232.65709995758,36003.21990007069,71235.87700002827,35719.64599995408,57748.53320000693,93468.17919996101,36091.79989993572,36550.92169996351,72642.72159989923,35689.40080003813,36600.72800004855,72290.12880008668,486.9888999965042,456.7437000805512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_high_002,10,high,31247.58570000995,31806.198099977337,63053.783799987286,31617.916199960746,33663.08430000208,65281.00049996283,32057.85940005444,31823.28899996355,63881.14840001799,31484.079899964854,31938.102399930358,63422.18229989521,370.33049995079637,236.49419995490462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_low_000,20,low,70959.79899994563,72587.44180004578,143547.2407999914,69114.83769991901,70514.73470008932,139629.57240000833,69520.57070005685,70891.64559997153,140412.21630002838,69928.67739999201,70624.8704000609,140553.5478000529,-1844.9613000266254,-1031.1215999536216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_low_001,20,low,57243.26390004717,57610.82479998004,114854.0887000272,56681.23980006203,57282.02170005534,113963.26150011737,56811.517799971625,57144.929000060074,113956.4468000317,56314.10630000755,57317.73849995807,113631.84479996562,-562.0240999851376,-929.1576000396162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_low_002,20,low,35575.835400028154,36148.99669995066,71724.83209997881,35102.64409997035,35674.61949994322,70777.26359991357,34938.29530000221,35577.444799942896,70515.7400999451,35046.744100051,35564.08470007591,70610.82880012691,-473.1913000578061,-529.0912999771535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_medium_000,20,medium,59677.17979999725,60286.24759998638,119963.42739998363,59013.00020003691,60245.36930001341,119258.36950005032,59080.62409993727,60249.602399999276,119330.22649993654,58853.42209995724,60233.31329994835,119086.73539990559,-664.1795999603346,-823.7577000400051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_medium_001,20,medium,43069.36039996799,43636.04110002052,86705.40149998851,42094.70640006475,42470.39439994842,84565.10080001317,42937.92379996739,43629.999800003134,86567.92359997053,42798.136799945496,43271.55689999927,86069.69369994476,-974.6539999032393,-271.2236000224948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_medium_002,20,medium,84549.1386000067,85074.0776999155,169623.2162999222,83681.89620005433,85302.50640003942,168984.40260009374,83144.19429993723,86619.75800001528,169763.9522999525,84388.8988000108,87588.49220001139,171977.39100002218,-867.2423999523744,-160.23979999590665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_high_000,20,high,28531.768099986948,28869.56249992363,57401.33059991058,28520.195899996907,28375.9013999952,56896.09729999211,28149.16919998359,28279.542900039814,56428.712100023404,28561.34429993108,28740.979499998502,57302.32379992958,-11.572199990041554,29.576199944131076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_high_001,20,high,46676.116900052875,47580.376900034025,94256.4938000869,46324.88279999234,124445.25089999661,170770.13369998895,47688.63450002391,110508.45520000439,158197.0897000283,45781.50369995274,45994.59570006002,91776.09940001275,-351.23410006053746,-894.6132001001388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n20_high_002,20,high,62268.57670000754,62830.679500009865,125099.25620001741,62513.64250003826,63059.53179998323,125573.17430002149,63116.743899998255,64153.54079997633,127270.28469997458,63750.83509995602,64218.99299998768,127969.8280999437,245.06580003071576,1482.2583999484777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,runtime_aggregate,29621.783266667517,28531.768099986948,29430.81117408885,28520.195899996907,29555.357070368093,28149.16919998359,29521.239577783963,28561.34429993108,30003.65674074015,33851.216859266126,32380.90283702628,30078.950885183145,59625.44000740767,63282.028033354974,61936.25990739437,59600.190462967104,29.621783266667517,29.43081117408885,29.555357070368093,29.521239577783962,30.003656740740148,33.851216859266124,32.38090283702628,30.078950885183144,-190.9720925786705,-100.54368888355654,"Ordering phases include independent ST-A* + conflict detection/graph; isolated graph-construction timing was not recorded separately. SPF from MAPF-6, MAPF-7 from separate benchmark run."
