instance_id,agent_count,interaction_level,spf_soc,spf_cd_soc,soc_equal,soc_diff_spf_cd_minus_spf,spf_makespan,spf_cd_makespan,makespan_equal,spf_total_time_ms,spf_cd_total_time_ms,spf_agent_order,spf_cd_original_index_order,same_priority_order,order_comparison_note,tie_break_explanation,max_degree,distinct_degree_count
AR0204SR_n10_high_002,10,high,3415,3415,True,0,481,481,True,63053.783799987286,63422.18229989521,"[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]","[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,3,4
AR0204SR_n20_low_000,20,low,5607,5607,True,0,511,511,True,143547.2407999914,140553.5478000529,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n20_low_001,20,low,5969,5969,True,0,511,511,True,114854.0887000272,113631.84479996562,"[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n20_low_002,20,low,4726,4726,True,0,489,489,True,71724.83209997881,70610.82880012691,"[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]","[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n20_medium_000,20,medium,5192,5192,True,0,498,498,True,119963.42739998363,119086.73539990559,"[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]","[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n20_medium_001,20,medium,5428,5428,True,0,509,509,True,86705.40149998851,86069.69369994476,"[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]","[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,2,3
AR0204SR_n20_medium_002,20,medium,5565,5565,True,0,471,471,True,169623.2162999222,171977.39100002218,"[15, 17, 7, 18, 3, 11, 8, 10, 16, 12, 2, 0, 9, 4, 1, 19, 6, 13, 14, 5]","[15, 17, 7, 18, 3, 11, 8, 10, 16, 12, 2, 0, 9, 4, 1, 19, 6, 13, 14, 5]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n20_high_000,20,high,4918,4918,True,0,455,455,True,57401.33059991058,57302.32379992958,"[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]","[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,4,4
AR0204SR_n20_high_001,20,high,4742,4742,True,0,490,490,True,94256.4938000869,91776.09940001275,"[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]","[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,4,5
AR0204SR_n20_high_002,20,high,4829,4829,True,0,512,512,True,125099.25620001741,127969.8280999437,"[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]","[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,2,3
