algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
HPA*,0,100.14213562,True,103,110.87005768508878,16,2.298199979122728,599.7616999666207,16,15,103,110.87005768508878,,0,7,0.0,1.0056000319309533,0.012199976481497288,2.2701999987475574
HPA*,1,100.08326111,True,99,113.49747468305826,37,2.5278000393882394,599.7616999666207,37,19,99,113.49747468305826,,0,7,0.0,0.8862999966368079,0.011100026313215494,2.497500041499734
HPA*,2,100.3969696,True,94,106.8406204335659,26,1.680399989709258,599.7616999666207,26,15,94,106.8406204335659,,0,4,0.0,0.526699994225055,0.00790000194683671,1.6530000139027834
HPA*,3,103.91168823,True,92,108.98275605729684,18,2.389600034803152,599.7616999666207,18,17,92,108.98275605729684,,0,6,0.0,0.5430000019259751,0.007199996616691351,2.354099997319281
HPA*,4,102.61017303,True,85,106.12489168102776,19,2.406700048595667,599.7616999666207,19,17,85,106.12489168102776,,0,8,0.0,0.4105999832972884,0.007299997378140688,2.3790000122971833
HPA*,5,102.94112549,True,97,106.94112549695423,29,1.2268000282347202,599.7616999666207,29,15,97,106.94112549695423,,0,6,0.0,0.362000020686537,0.006799993570894003,1.2089000083506107
HPA*,6,102.76955261,True,102,111.94112549695424,36,2.4256999604403973,599.7616999666207,36,17,102,111.94112549695424,,0,9,0.0,0.3622000222094357,0.006599992047995329,2.4058999842964113
HPA*,7,102.52691193,True,100,107.45584412271569,19,2.4096000124700367,599.7616999666207,19,15,100,107.45584412271569,,0,8,0.0,0.36449998151510954,0.007299997378140688,2.3858000058680773
HPA*,8,103.49747467,True,92,106.08326112068521,24,1.9054999575018883,599.7616999666207,24,15,92,106.08326112068521,,0,7,0.0,0.29719999292865396,0.00589998671784997,1.8832999630831182
HPA*,9,101.14213562,True,99,108.94112549695423,30,2.9415999888442457,599.7616999666207,30,13,99,108.94112549695423,,0,9,0.0,0.34169998252764344,0.006199989002197981,2.923599968198687
HPA*,10,107.46803741,True,95,119.02438661763938,36,1.9448999664746225,599.7616999666207,36,19,95,119.02438661763938,,0,6,0.0,0.3182000364176929,0.007499998901039362,1.9192000036127865
HPA*,11,105.56854248,True,100,119.46803743153541,30,1.8977000145241618,599.7616999666207,30,17,100,119.46803743153541,,0,8,0.0,0.3559999749995768,0.006300047971308231,1.8707000417634845
HPA*,12,105.85281372,True,96,118.78174593052013,20,5.781000014394522,599.7616999666207,20,19,96,118.78174593052013,,0,10,0.0,0.3030999796465039,0.006999995093792677,5.749700008891523
HPA*,13,106.25483398,True,96,108.84062043356593,16,2.057800011243671,599.7616999666207,16,15,96,108.84062043356593,,0,8,0.0,0.2935999655164778,0.005999987479299307,2.0392999867908657
HPA*,14,107.68124084,True,87,110.61017305526633,26,3.0110999941825867,599.7616999666207,26,19,87,110.61017305526633,,0,10,0.0,0.402199977543205,0.01409999094903469,2.9747000080533326
HPA*,15,106.53910522,True,94,112.63961030678921,21,1.3916000025346875,599.7616999666207,21,19,94,112.63961030678921,,0,6,0.0,0.38079998921602964,0.007599999662488699,1.3614000054076314
HPA*,16,106.19595947,True,100,123.6101730552663,83,1.3491000281646848,599.7616999666207,83,19,100,123.6101730552663,,0,6,0.0,0.3991999546997249,0.00689999433234334,1.3158000074326992
HPA*,17,107.41421356,True,107,112.38477631085021,25,2.1846999879926443,599.7616999666207,25,13,107,112.38477631085021,,0,7,0.0,0.30830001924186945,0.005499983672052622,2.160899981390685
HPA*,18,104.07106781,True,102,111.52691193458114,16,2.467299986165017,599.7616999666207,16,13,102,111.52691193458114,,0,8,0.0,0.2992000081576407,0.004299974534660578,2.4506999761797488
HPA*,19,104.29646454,True,95,114.0538238691623,28,1.171400013845414,599.7616999666207,28,17,95,114.0538238691623,,0,5,0.0,0.3238999634049833,0.007700000423938036,1.1480000102892518
HPA*,20,108.43860016,True,102,123.12489168102776,27,2.9460000223480165,599.7616999666207,27,17,102,123.12489168102776,,0,8,0.0,0.4026999813504517,0.006499991286545992,2.9189999913796782
HPA*,21,108.24264069,True,110,110.82842712474618,16,2.0468999864533544,599.7616999666207,16,15,110,110.82842712474618,,0,8,0.0,0.2820999943651259,0.006199989002197981,2.0311999833211303
HPA*,22,111.91168823,True,101,119.22539674441609,33,3.1079999753274024,599.7616999666207,33,17,101,119.22539674441609,,0,6,0.0,0.7129000150598586,0.007299997378140688,3.079499991144985
HPA*,23,108.09545441,True,100,118.63961030678921,40,5.659799964632839,599.7616999666207,40,19,100,118.63961030678921,,0,12,0.0,0.3496999852359295,0.008500006515532732,5.630299972835928
HPA*,24,109.12489166,True,98,120.7817459305201,34,1.9319999846629798,599.7616999666207,34,21,98,120.7817459305201,,0,7,0.0,0.3692999598570168,0.007099995855242014,1.9070999696850777
HPA*,25,108.46803741,True,97,116.46803743153538,35,1.7936000367626548,599.7616999666207,35,17,97,116.46803743153538,,0,7,0.0,0.3448000061325729,0.014499993994832039,1.76910002483055
HPA*,26,109.55634918,True,110,119.11269837220807,18,1.9523000228218734,599.7616999666207,18,17,110,119.11269837220807,,0,8,0.0,0.28979999478906393,0.006199989002197981,1.92760000936687
HPA*,27,108.08326111,True,100,115.74011537017756,53,1.6582999960519373,599.7616999666207,53,17,100,115.74011537017756,,0,6,0.0,0.34200004301965237,0.006599992047995329,1.6373000107705593
HPA*,28,110.81118317,True,110,127.39696961966989,52,2.041200001258403,599.7616999666207,52,21,110,127.39696961966989,,0,7,0.0,0.48430002061650157,0.009100011084228754,2.017000049818307
HPA*,29,109.04163055,True,102,112.35533905932733,26,1.9459999748505652,599.7616999666207,26,13,102,112.35533905932733,,0,6,0.0,0.3415000392124057,0.007499998901039362,1.9183999975211918
HPA*,30,112.4091629,True,91,117.09545442950488,20,1.7348999972455204,599.7616999666207,20,19,91,117.09545442950488,,0,8,0.0,0.2874999772757292,0.006999995093792677,1.7121999990195036
HPA*,31,115.74011536,True,108,120.42640687119282,28,1.9400000455789268,599.7616999666207,28,17,108,120.42640687119282,,0,8,0.0,0.32759999157860875,0.006799993570894003,1.9195000058971345
HPA*,32,112.05382385,True,99,119.71067811865464,26,2.5889999815262854,599.7616999666207,26,19,99,119.71067811865464,,0,7,0.0,1.1557000107131898,0.008599949069321156,2.5585999828763306
HPA*,33,112.43860016,True,101,125.02438661763941,47,8.173200010787696,599.7616999666207,47,19,101,125.02438661763941,,1,10,0.09090909090909091,0.49349997425451875,0.009200011845678091,8.140299993101507
HPA*,34,115.25483398,True,109,124.32590180780444,66,1.9214999629184604,599.7616999666207,66,19,109,124.32590180780444,,0,7,0.0,0.39380002999678254,0.009100011084228754,1.8748000147752464
HPA*,35,115.32590179,True,104,117.66904755831212,23,1.2657999759539962,599.7616999666207,23,19,104,117.66904755831212,,0,5,0.0,0.29930000891909003,0.010200019460171461,1.2343000271357596
