algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
HPA*,0,100.14213562,True,96,100.14213562373092,8,6.815300032030791,816.4284999947995,8,7,96,100.14213562373092,,0,8,0.0,0.3684000112116337,0.00689999433234334,6.793400039896369
HPA*,1,100.08326111,True,94,109.74011537017753,19,9.955899964552373,816.4284999947995,19,9,94,109.74011537017753,,0,11,0.0,0.34249998861923814,0.008400005754083395,9.931400010827929
HPA*,2,100.3969696,True,87,102.74011537017755,10,6.05540000833571,816.4284999947995,10,9,87,102.74011537017755,,1,6,0.14285714285714285,0.30509999487549067,0.007700000423938036,6.030400050804019
HPA*,3,103.91168823,True,106,117.18376618407352,11,3.32909997086972,816.4284999947995,11,9,106,117.18376618407352,,0,7,0.0,0.2973000518977642,0.007100054062902927,3.3044000156223774
HPA*,4,102.61017303,True,101,115.49747468305827,11,14.440300001297146,816.4284999947995,11,9,101,115.49747468305827,,0,10,0.0,0.32540003303438425,0.00790000194683671,14.407700044102967
HPA*,5,102.94112549,True,93,104.5979797464466,8,4.379499994684011,816.4284999947995,8,7,93,104.5979797464466,,0,7,0.0,0.3567000385373831,0.005299982149153948,4.359600017778575
HPA*,6,102.76955261,True,94,105.59797974644663,10,12.637600011657923,816.4284999947995,10,9,94,105.59797974644663,,1,9,0.1,0.2865000278688967,0.006999995093792677,12.614900013431907
HPA*,7,102.52691193,True,106,117.59797974644664,10,6.193900015205145,816.4284999947995,10,9,106,117.59797974644664,,0,8,0.0,0.269699958153069,0.00600004568696022,6.16810005158186
HPA*,8,103.49747467,True,104,119.74011537017756,16,3.2033000024966896,816.4284999947995,16,9,104,119.74011537017756,,0,7,0.0,0.17549999756738544,0.004900037311017513,3.168499970342964
HPA*,9,101.14213562,True,107,118.59797974644663,20,11.036999989300966,816.4284999947995,20,7,107,118.59797974644663,,0,9,0.0,0.2394999610260129,0.004800036549568176,11.015900003258139
HPA*,10,107.46803741,True,92,117.26702730475867,16,5.229600006714463,816.4284999947995,16,9,92,117.26702730475867,,0,8,0.0,0.18959998851642013,0.005100038833916187,5.207100010011345
HPA*,11,105.56854248,True,105,124.88225099390847,12,3.805900050792843,816.4284999947995,12,9,105,124.88225099390847,,0,7,0.0,0.228599994443357,0.006399990525096655,3.777200006879866
HPA*,12,105.85281372,True,97,115.2253967444161,10,25.05380002548918,816.4284999947995,10,9,97,115.2253967444161,,0,10,0.0,0.35690004006028175,0.007299997378140688,25.01720003783703
HPA*,13,106.25483398,True,94,106.84062043356589,12,9.293500042986125,816.4284999947995,12,7,94,106.84062043356589,,0,8,0.0,1.8621000344865024,0.006399990525096655,9.270100039429963
HPA*,14,107.68124084,True,88,111.19595949289324,10,8.067899965681136,816.4284999947995,10,9,88,111.19595949289324,,0,10,0.0,0.1534000039100647,0.004300032742321491,8.043999958317727
HPA*,15,106.53910522,True,90,109.46803743153536,12,5.814300035126507,816.4284999947995,12,11,90,109.46803743153536,,0,7,0.0,0.20760000916197896,0.006499991286545992,5.786699999589473
HPA*,16,106.19595947,True,98,114.98275605729681,16,6.178500014357269,816.4284999947995,16,11,98,114.98275605729681,,0,11,0.0,0.21470000501722097,0.006999995093792677,6.150100030936301
HPA*,17,107.41421356,True,108,119.59797974644663,14,3.5170000046491623,816.4284999947995,14,7,108,119.59797974644663,,0,7,0.0,0.25559996720403433,0.004300032742321491,3.494400007184595
HPA*,18,104.07106781,True,102,115.66904755831209,10,12.885999982245266,816.4284999947995,10,7,102,115.66904755831209,,1,9,0.1,0.1990000018849969,0.005799985956400633,12.865600001532584
HPA*,19,104.29646454,True,95,114.0538238691623,18,9.947199956513941,816.4284999947995,18,11,95,114.0538238691623,,0,8,0.0,0.2025999710895121,0.007499998901039362,9.924299956765026
HPA*,20,108.43860016,True,97,116.0538238691623,14,31.228200008627027,816.4284999947995,14,9,97,116.0538238691623,,1,14,0.06666666666666667,0.3858999698422849,0.007199996616691351,31.200599973089993
