manifest_sha256,map_name,catalogue_seed,instance_id,agent_count,interaction_level,actual_a_i,search_active,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,max_conflict_degree,spf_success,cglps_success,ubls_success,recovered_by_cglps,recovered_by_ubls,unrecovered,spf_soc,spf_makespan,cglps_soc,cglps_makespan,ubls_soc,ubls_makespan,cglps_selected_candidate_id,ubls_selected_candidate_id,cglps_soc_improvement_vs_spf,ubls_soc_improvement_vs_spf,cglps_makespan_only_vs_spf,ubls_makespan_only_vs_spf,cglps_lex_vs_spf,ubls_lex_vs_spf,cglps_vs_ubls_soc_diff,cglps_vs_ubls_lex,spf_logical_runtime_ms,cglps_logical_runtime_ms,ubls_logical_runtime_ms,physical_instance_wall_time_ms
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n10_medium_001,10,medium,1,True,1,1,1,True,True,True,False,False,False,2219,480,2219,480,2219,480,0,0,0,0,False,False,equal,equal,0,equal,59681.44310003845,89704.25250005792,88970.81110003637,119043.43099999824
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n10_medium_002,10,medium,1,True,1,1,1,True,True,True,False,False,False,2254,501,2254,501,2254,501,0,0,0,0,False,False,equal,equal,0,equal,80241.96120002307,128389.42819999647,119922.92219999945,168123.5466999933
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_high_000,20,high,4,True,7,7,4,True,True,True,False,False,False,4417,510,4415,510,4417,510,1,0,2,0,False,False,left_better,equal,-2,left_better,146670.62160000205,449354.7683999641,445915.5500999768,749228.3415999846
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_high_001,20,high,4,True,9,9,5,True,True,True,False,False,False,6163,502,6163,502,6163,502,0,0,0,0,False,False,equal,equal,0,equal,210981.0482999892,634670.3960000305,629267.3505999846,1053609.6305000247
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_high_002,20,high,4,True,5,5,4,True,True,True,False,False,False,5777,512,5777,512,5777,512,0,0,0,0,False,False,equal,equal,0,equal,276216.5951000061,836587.927000015,841653.7378999637,1402680.908499984
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_low_000,20,low,0,False,0,0,0,True,True,True,False,False,False,3694,451,3694,451,3694,451,0,0,0,0,False,False,equal,equal,0,equal,100985.88029996608,101046.71599998255,100985.95389997354,101109.75649999455
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_low_001,20,low,0,False,0,0,0,True,True,True,False,False,False,3946,444,3946,444,3946,444,0,0,0,0,False,False,equal,equal,0,equal,51573.21940001566,51632.315499999095,51573.2920000155,51693.588800000725
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_low_002,20,low,0,False,0,0,0,True,True,True,False,False,False,4425,505,4425,505,4425,505,0,0,0,0,False,False,equal,equal,0,equal,162919.15489998064,162988.0581999896,162919.23429997405,163057.3330000043
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_medium_000,20,medium,2,True,2,2,2,True,True,True,False,False,False,5214,492,5214,492,5214,492,0,0,0,0,False,False,equal,equal,0,equal,179197.34109999263,360801.6587999882,359900.43809998315,541841.5339000057
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_medium_001,20,medium,2,True,2,2,1,True,True,True,False,False,False,5498,501,5498,501,5498,501,0,0,0,0,False,False,equal,equal,0,equal,243511.21409999905,488425.9127000405,488588.3959000057,733846.4566999755
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n20_medium_002,20,medium,2,True,2,2,1,True,True,True,False,False,False,4518,433,4518,431,4518,433,2,0,0,0,True,False,left_better,equal,0,left_better,72592.20320000895,145705.66710003186,145627.06709999475,219038.5553999804
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_high_000,5,high,1,True,78,1,1,True,True,True,False,False,False,1295,478,1294,478,1294,478,1,1,1,1,False,False,left_better,left_better,0,equal,8902.691800001776,13362.039200001163,13360.006800008705,17831.646899983753
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_high_001,5,high,1,True,3,1,1,True,True,True,False,False,False,1118,418,1118,418,1118,418,0,0,0,0,False,False,equal,equal,0,equal,1240.053200017428,1891.31770003587,1855.2809999964666,2516.8686999822967
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_high_002,5,high,1,True,168,1,1,True,True,True,False,False,False,1561,370,1561,370,1561,370,0,0,0,0,False,False,equal,equal,0,equal,18675.701999949524,28167.918099934468,28128.336399968248,37630.28430001577
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_low_000,5,low,0,False,0,0,0,True,True,True,False,False,False,1256,479,1256,479,1256,479,0,0,0,0,False,False,equal,equal,0,equal,6269.212199986214,6272.866900020745,6269.2473999923095,6276.631500018993
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_low_001,5,low,0,False,0,0,0,True,True,True,False,False,False,1280,403,1280,403,1280,403,0,0,0,0,False,False,equal,equal,0,equal,38362.163700017845,38365.74209999526,38362.199200026225,38370.275199995376
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_low_002,5,low,0,False,0,0,0,True,True,True,False,False,False,1415,440,1415,440,1415,440,0,0,0,0,False,False,equal,equal,0,equal,24665.056899975752,24668.486999958986,24665.09329996188,24672.420199989574
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_medium_000,5,medium,1,True,1,1,1,True,True,True,False,False,False,1141,471,1141,471,1141,471,0,0,0,0,False,False,equal,equal,0,equal,25392.371499998262,57625.55479994626,38068.8731999835,70316.23759999638
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_medium_001,5,medium,1,True,1,1,1,True,True,True,False,False,False,1768,505,1768,505,1768,505,0,0,0,0,False,False,equal,equal,0,equal,17718.039100029273,31567.60660003056,26602.329700021073,40465.304900018964
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n05_medium_002,5,medium,1,True,1,1,1,True,True,True,False,False,False,1422,411,1422,411,1422,411,0,0,0,0,False,False,equal,equal,0,equal,22791.390499973204,34277.529599989066,34293.78409998026,45791.22889999417
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_high_000,10,high,3,True,3,3,2,True,True,True,False,False,False,3747,505,3747,505,3747,505,0,0,0,0,False,False,equal,equal,0,equal,220916.47529997863,555168.5451999947,556483.4472000075,890880.6972999882
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_high_001,10,high,3,True,3,3,2,True,True,True,False,False,False,2828,511,2828,511,2828,511,0,0,0,0,False,False,equal,equal,0,equal,112527.85930002574,283482.0866000373,283206.71700002276,454287.10459999274
