manifest_sha256,map_name,instance_id,method,candidate_id,agent_order,success,soc,makespan,pair_conflict_event_count,matches_cglps_candidate_order,selected
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,cglps,2,"[8, 2, 0, 5, 3, 9, 6, 7, 1, 4]",True,3749,505,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,cglps,3,"[6, 2, 0, 9, 3, 5, 8, 7, 1, 4]",True,3747,505,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,ubls,0,"[8, 2, 0, 9, 3, 5, 6, 7, 1, 4]",True,3747,505,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,ubls,1,"[5, 2, 0, 9, 3, 8, 6, 7, 1, 4]",True,3749,505,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,ubls,2,"[8, 2, 0, 9, 3, 6, 5, 7, 1, 4]",True,3747,505,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,ubls,3,"[8, 2, 9, 0, 3, 5, 6, 7, 1, 4]",True,3747,505,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,cglps,0,"[7, 6, 2, 4, 5, 8, 0, 3, 9, 1]",True,2828,511,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,cglps,1,"[7, 6, 2, 4, 3, 8, 0, 5, 9, 1]",True,2828,511,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,cglps,2,"[7, 6, 2, 4, 5, 8, 0, 9, 3, 1]",True,2828,511,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,cglps,3,"[7, 6, 2, 4, 5, 9, 0, 3, 8, 1]",True,2828,511,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,ubls,0,"[7, 6, 2, 4, 5, 8, 0, 3, 9, 1]",True,2828,511,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,ubls,1,"[7, 1, 2, 4, 5, 8, 0, 3, 9, 6]",True,2828,511,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,ubls,2,"[7, 6, 8, 4, 5, 2, 0, 3, 9, 1]",True,2828,511,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,ubls,3,"[0, 6, 2, 4, 5, 8, 7, 3, 9, 1]",True,2828,511,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,cglps,0,"[0, 1, 4, 7, 9, 6, 5, 2, 8, 3]",True,3519,494,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,cglps,1,"[0, 1, 2, 7, 9, 6, 5, 4, 8, 3]",True,3519,494,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,cglps,2,"[0, 1, 4, 7, 9, 6, 5, 2, 3, 8]",True,3519,494,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,cglps,3,"[0, 1, 4, 7, 3, 6, 5, 2, 8, 9]",True,3519,494,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,ubls,0,"[0, 1, 4, 7, 9, 6, 5, 2, 8, 3]",True,3519,494,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,ubls,1,"[5, 1, 4, 7, 9, 6, 0, 2, 8, 3]",True,3519,494,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,ubls,2,"[0, 1, 9, 7, 4, 6, 5, 2, 8, 3]",True,3519,494,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_002,ubls,3,"[0, 1, 4, 5, 9, 6, 7, 2, 8, 3]",True,3519,494,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_low_000,cglps,0,"[7, 6, 5, 3, 9, 2, 1, 8, 4, 0]",True,2233,481,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_low_000,ubls,0,"[7, 6, 5, 3, 9, 2, 1, 8, 4, 0]",True,2233,481,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_low_001,cglps,0,"[8, 2, 5, 6, 7, 1, 3, 9, 0, 4]",True,2617,487,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_low_001,ubls,0,"[8, 2, 5, 6, 7, 1, 3, 9, 0, 4]",True,2617,487,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_low_002,cglps,0,"[8, 7, 3, 2, 9, 0, 4, 6, 5, 1]",True,2925,511,,False,True
