map_name,catalogue_role,catalogue_seed,manifest_sha256,instance_id,agent_count,interaction_level,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,manifest_vertex_conflict_count,manifest_edge_conflict_count,manifest_independent_soc,manifest_independent_makespan,independent_conflict_count,conflicting_agent_pair_count,pair_event_counts_json,max_conflict_degree,spf_order_json,expected_a_i_from_manifest,actual_a_i,physical_pp_eval_count,budget_match_ok,preprocessing_success,termination_reason,error_message,independent_path_time_ms,conflict_detection_time_ms,spf_ordering_time_ms,baseline_spf_pp_time_ms,cglps_candidate_ranking_time_ms,cglps_additional_pp_time_ms,ubls_candidate_generation_time_ms,ubls_additional_pp_time_ms,physical_instance_wall_time_ms
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_high_000,5,high,78,1,78,0,1294,478,78,1,"{""0,4"": 78}",1,"[4, 1, 0, 3, 2]",1,1,3,True,True,success,,4435.984900017502,3.754100005608052,0.006599992047995329,4466.700299992226,0.011800002539530396,4455.58149999124,0.040300015825778246,4457.274699991103,17831.646899983753
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_high_001,5,high,3,1,3,0,1118,418,3,1,"{""0,1"": 3}",1,"[0, 4, 2, 3, 1]",1,1,3,True,True,success,,619.1827000002377,3.2356000156141818,0.0050000089686363935,620.8655000082217,0.008300004992634058,648.0205999978352,0.03259998629800975,615.1951999927405,2516.8686999822967
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_high_002,5,high,168,1,168,0,1560,370,168,1,"{""0,4"": 168}",1,"[4, 1, 0, 3, 2]",1,1,3,True,True,success,,9298.336399981054,3.5274999972898513,0.005599984433501959,9377.359999984037,0.00999998883344233,9488.67859999882,0.04020001506432891,9452.59420000366,37630.28430001577
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_low_000,5,low,0,0,0,0,1256,479,0,0,{},0,"[4, 3, 1, 2, 0]",0,0,1,True,True,success,,3121.232900011819,3.651600010925904,0.006199989002197981,3147.9730999853928,0.003100023604929447,0,0.035200006095692515,0,6276.631500018993
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_low_001,5,low,0,0,0,0,1280,403,0,0,{},0,"[0, 3, 1, 4, 2]",0,0,1,True,True,success,,19113.27880001045,3.5740000021178275,0.006900023436173797,19248.87799998396,0.004399975296109915,0,0.035500008380040526,0,38370.275199995376
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_low_002,5,low,0,0,0,0,1415,440,0,0,{},0,"[2, 3, 0, 1, 4]",0,0,1,True,True,success,,12277.635200007353,3.426199982641265,0.005499983672052622,12387.416199984727,0.0039000005926936865,0,0.0363999861292541,0,24672.420199989574
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_medium_000,5,medium,1,1,1,0,1141,471,1,1,"{""2,4"": 1}",1,"[3, 4, 1, 2, 0]",1,1,3,True,True,success,,12622.395000013057,4.069799964781851,0.005999987479299307,12769.970499997726,0.017499987734481692,32229.09599999548,0.060999998822808266,12676.440699986415,70316.23759999638
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_medium_001,5,medium,1,1,1,0,1768,505,1,1,"{""0,4"": 1}",1,"[4, 3, 1, 2, 0]",1,1,3,True,True,success,,8824.089300003834,4.037200007587671,0.006200018106028438,8893.943600007333,0.014299992471933365,13845.516000001226,0.04730001091957092,8884.24329998088,40465.304900018964
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n05_medium_002,5,medium,1,1,0,1,1422,411,1,1,"{""2,3"": 1}",1,"[4, 1, 0, 2, 3]",1,1,3,True,True,success,,11295.010900008492,3.5841000208165497,0.005499983672052622,11496.37409998104,0.013100012438371778,11482.541899982607,0.034199998481199145,11502.359400008572,45791.22889999417
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_high_000,10,high,3,3,0,3,3747,505,3,3,"{""5,9"": 1, ""6,8"": 1, ""2,6"": 1}",2,"[8, 2, 0, 9, 3, 5, 6, 7, 1, 4]",3,3,7,True,True,success,,109524.03020000202,17.718799994327128,0.00589998671784997,111392.4391999899,0.016700010746717453,334234.334400011,0.0824000162538141,335566.8895000126,890880.6972999882
