manifest_sha256,map_name,catalogue_role,catalogue_seed,instance_id,method,success,termination_reason,selected_candidate_id,selected_agent_order_json,soc,makespan,final_conflict_count,additional_pp_eval_count,logical_pp_candidate_count,logical_runtime_ms,baseline_spf_pp_time_ms,method_specific_runtime_ms
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_000,spf,True,success,0,"[4, 1, 0, 3, 2]",1295,478,0,0,1,8902.691800001776,4466.700299992226,4466.700299992226
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_000,cglps,True,success,1,"[0, 1, 4, 3, 2]",1294,478,0,1,2,13362.039200001163,4466.700299992226,4455.5932999937795
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_000,ubls,True,success,1,"[0, 1, 4, 3, 2]",1294,478,0,1,2,13360.006800008705,4466.700299992226,4457.315000006929
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_001,spf,True,success,0,"[0, 4, 2, 3, 1]",1118,418,0,0,1,1240.053200017428,620.8655000082217,620.8655000082217
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_001,cglps,True,success,0,"[0, 4, 2, 3, 1]",1118,418,0,1,2,1891.31770003587,620.8655000082217,648.0289000028279
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_001,ubls,True,success,0,"[0, 4, 2, 3, 1]",1118,418,0,1,2,1855.2809999964666,620.8655000082217,615.2277999790385
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_002,spf,True,success,0,"[4, 1, 0, 3, 2]",1561,370,0,0,1,18675.701999949524,9377.359999984037,9377.359999984037
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_002,cglps,True,success,0,"[4, 1, 0, 3, 2]",1561,370,0,1,2,28167.918099934468,9377.359999984037,9488.688599987654
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_high_002,ubls,True,success,0,"[4, 1, 0, 3, 2]",1561,370,0,1,2,28128.336399968248,9377.359999984037,9452.634400018724
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_000,spf,True,success,0,"[4, 3, 1, 2, 0]",1256,479,0,0,1,6269.212199986214,3147.9730999853928,3147.9730999853928
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_000,cglps,True,success,0,"[4, 3, 1, 2, 0]",1256,479,0,0,1,6272.866900020745,3147.9730999853928,0.003100023604929447
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_000,ubls,True,success,0,"[4, 3, 1, 2, 0]",1256,479,0,0,1,6269.2473999923095,3147.9730999853928,0.035200006095692515
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_001,spf,True,success,0,"[0, 3, 1, 4, 2]",1280,403,0,0,1,38362.163700017845,19248.87799998396,19248.87799998396
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_001,cglps,True,success,0,"[0, 3, 1, 4, 2]",1280,403,0,0,1,38365.74209999526,19248.87799998396,0.004399975296109915
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_001,ubls,True,success,0,"[0, 3, 1, 4, 2]",1280,403,0,0,1,38362.199200026225,19248.87799998396,0.035500008380040526
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_002,spf,True,success,0,"[2, 3, 0, 1, 4]",1415,440,0,0,1,24665.056899975752,12387.416199984727,12387.416199984727
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_002,cglps,True,success,0,"[2, 3, 0, 1, 4]",1415,440,0,0,1,24668.486999958986,12387.416199984727,0.0039000005926936865
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_low_002,ubls,True,success,0,"[2, 3, 0, 1, 4]",1415,440,0,0,1,24665.09329996188,12387.416199984727,0.0363999861292541
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_medium_000,spf,True,success,0,"[3, 4, 1, 2, 0]",1141,471,0,0,1,25392.371499998262,12769.970499997726,12769.970499997726
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_medium_000,cglps,True,success,0,"[3, 4, 1, 2, 0]",1141,471,0,1,2,57625.55479994626,12769.970499997726,32229.113499983214
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_medium_000,ubls,True,success,0,"[3, 4, 1, 2, 0]",1141,471,0,1,2,38068.8731999835,12769.970499997726,12676.501699985238
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,mapf9_primary,2030,AR0400SR_n05_medium_001,spf,True,success,0,"[4, 3, 1, 2, 0]",1768,505,0,0,1,17718.039100029273,8893.943600007333,8893.943600007333
