instance_id,agent_count,interaction_level,fixed_success,fixed_soc,fixed_makespan,fixed_runtime_ms,spf_success,spf_soc,spf_makespan,spf_agent_order,spf_ordering_time_ms,spf_pp_time_ms,spf_total_time_ms,lpf_success,lpf_soc,lpf_makespan,lpf_agent_order,lpf_ordering_time_ms,lpf_pp_time_ms,lpf_total_time_ms,random_success_rate,random_success_count,random_ordering_count,random_soc_mean,random_soc_median,random_soc_min,random_soc_max,random_soc_range,random_unique_soc_count,random_makespan_mean,random_makespan_median,random_makespan_min,random_makespan_max,random_makespan_range,random_runtime_mean_ms,random_runtime_median_ms,random_sampled_best_of_k_soc,observed_priority_sensitive
AR0204SR_n10_medium_002,10,medium,True,1960,441,5999.483199906535,True,1960,441,"[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]",5852.437200024724,5960.358800017275,11812.796000041999,True,1960,441,"[3, 6, 4, 0, 5, 8, 7, 9, 2, 1]",5874.04509994667,5954.2907000286505,11828.33579997532,1.0,10,10,1960,1960.0,1960,1960,0,1,441,441.0,441,441,0,6079.085269977804,6062.345999991521,1960,False
AR0204SR_n10_high_000,10,high,True,2509,511,18812.379500013776,True,2487,511,"[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]",17351.69479995966,17700.644799973816,35052.339599933475,True,2564,511,"[7, 2, 5, 1, 3, 6, 4, 8, 0, 9]",17412.745199981146,23973.05570007302,41385.800900054164,1.0,10,10,2506.4,2493.0,2485,2564,79,7,511,511.0,511,511,0,20292.05292998813,18975.35025002435,2485,True
AR0204SR_n10_high_001,10,high,True,3183,512,58303.68719995022,True,2962,512,"[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]",35232.65709995758,36003.21990007069,71235.87700002827,True,3181,512,"[3, 7, 4, 6, 8, 2, 1, 0, 5, 9]",35227.07519994583,56230.10210006032,91457.17730000615,1.0,10,10,3050,2962.0,2962,3183,221,3,512,512.0,512,512,0,46230.31533997273,38159.824749978725,2962,True
AR0204SR_n10_high_002,10,high,True,3415,481,32494.94230002165,True,3415,481,"[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]",31247.58570000995,31806.198099977337,63053.783799987286,True,3458,481,"[3, 5, 0, 4, 6, 8, 7, 9, 2, 1]",31470.979399979115,33912.31139993761,65383.29079991672,1.0,10,10,3427.9,3415.0,3415,3458,43,2,481,481.0,481,481,0,32383.650790003594,32052.127100003418,3415,True
AR0204SR_n20_low_000,20,low,True,5607,511,73050.90079992078,True,5607,511,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]",70959.79899994563,72587.44180004578,143547.2407999914,True,5607,511,"[18, 14, 8, 5, 0, 11, 16, 6, 4, 10, 12, 17, 19, 1, 2, 3, 9, 13, 15, 7]",70009.37739992514,71183.45630005933,141192.83369998448,1.0,10,10,5607,5607.0,5607,5607,0,1,511,511.0,511,511,0,70308.96773998393,70294.33835000964,5607,False
AR0204SR_n20_low_001,20,low,True,5969,511,59098.997200024314,True,5969,511,"[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]",57243.26390004717,57610.82479998004,114854.0887000272,True,5969,511,"[2, 7, 11, 4, 12, 6, 16, 3, 17, 13, 9, 5, 14, 1, 18, 0, 8, 15, 10, 19]",57138.0129000172,58264.98630002607,115402.99920004327,1.0,10,10,5969,5969.0,5969,5969,0,1,511,511.0,511,511,0,57620.29078999767,57351.494650007226,5969,False
AR0204SR_n20_low_002,20,low,True,4726,489,36463.2469000062,True,4726,489,"[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]",35575.835400028154,36148.99669995066,71724.83209997881,True,4726,489,"[12, 6, 5, 17, 7, 14, 13, 3, 19, 0, 1, 9, 11, 4, 18, 16, 2, 8, 15, 10]",35968.10490009375,35826.2358000502,71794.34070014395,1.0,10,10,4726,4726.0,4726,4726,0,1,489,489.0,489,489,0,36060.758710012306,36066.343749989755,4726,False
AR0204SR_n20_medium_000,20,medium,True,5192,498,61415.93500005547,True,5192,498,"[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]",59677.17979999725,60286.24759998638,119963.42739998363,True,5190,498,"[18, 13, 15, 16, 17, 9, 0, 3, 12, 8, 2, 6, 10, 19, 4, 5, 11, 7, 1, 14]",59900.810300023295,60684.396800003015,120585.20710002631,1.0,10,10,5191.2,5192.0,5190,5192,2,2,498,498.0,498,498,0,60844.80762997409,60825.79154992709,5190,True
AR0204SR_n20_medium_001,20,medium,True,5428,509,43796.829400002025,True,5428,509,"[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]",43069.36039996799,43636.04110002052,86705.40149998851,True,5428,509,"[2, 15, 7, 5, 6, 3, 12, 14, 1, 0, 17, 13, 10, 16, 9, 4, 18, 8, 11, 19]",43000.47500000801,42995.05960009992,85995.53460010793,1.0,10,10,5428,5428.0,5428,5428,0,1,509,509.0,509,509,0,43512.69333999371,43525.65939998021,5428,False
AR0204SR_n20_medium_002,20,medium,True,5565,471,85973.43020001426,True,5565,471,"[15, 17, 7, 18, 3, 11, 8, 10, 16, 12, 2, 0, 9, 4, 1, 19, 6, 13, 14, 5]",84549.1386000067,85074.0776999155,169623.2162999222,True,5565,471,"[5, 14, 13, 6, 19, 1, 4, 9, 0, 2, 12, 16, 10, 8, 11, 3, 18, 7, 17, 15]",81833.2175000105,84626.11340009607,166459.33090010658,1.0,10,10,5565,5565.0,5565,5565,0,1,471,471.0,471,471,0,85346.29076002166,85294.61750003975,5565,False
AR0204SR_n20_high_000,20,high,True,4918,455,29031.941000022925,True,4918,455,"[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]",28531.768099986948,28869.56249992363,57401.33059991058,True,4918,455,"[12, 7, 19, 16, 2, 13, 0, 9, 14, 4, 1, 15, 3, 5, 18, 11, 6, 10, 8, 17]",28548.405900015496,29525.29300004244,58073.698900057934,1.0,10,10,4918,4918.0,4918,4918,0,1,455,455.0,455,455,0,28954.582489992026,28969.862949976232,4918,False
AR0204SR_n20_high_001,20,high,True,5461,490,190051.26199999359,True,4742,490,"[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]",46676.116900052875,47580.376900034025,94256.4938000869,True,5461,490,"[14, 0, 12, 6, 10, 3, 11, 5, 7, 4, 15, 8, 9, 17, 1, 19, 16, 2, 13, 18]",47426.67010007426,188959.4795999583,236386.14970003255,1.0,10,10,5299,5461.0,4742,5461,719,4,490,490.0,490,490,0,154241.87324999366,187327.87545002066,4742,True
AR0204SR_n20_high_002,20,high,True,4829,512,66728.97519997787,True,4829,512,"[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]",62268.57670000754,62830.679500009865,125099.25620001741,True,4829,512,"[6, 8, 10, 18, 2, 1, 9, 16, 13, 4, 19, 15, 14, 5, 0, 3, 17, 11, 12, 7]",64006.77470001392,63956.84670004994,127963.62140006386,1.0,10,10,4829,4829.0,4829,4829,0,1,512,512.0,512,512,0,64545.6587099703,64490.02794997068,4829,False
