instance_id,agent_count,interaction_level,fixed_runtime_ms,random_runtime_mean_ms,random_runtime_median_ms,random_runtime_semantics,spf_ordering_time_ms,spf_pp_time_ms,spf_total_time_ms,spf_ordering_fraction,lpf_ordering_time_ms,lpf_pp_time_ms,lpf_total_time_ms,lpf_ordering_fraction,spf_total_minus_lpf_total_ms,lpf_total_over_spf_total_ratio,metric_group,spf_total_faster_count,lpf_total_faster_count,equal_total_runtime_count,mean_spf_ordering_time_ms,mean_lpf_ordering_time_ms,mean_spf_pp_time_ms,mean_lpf_pp_time_ms,mean_spf_total_time_ms,mean_lpf_total_time_ms,median_spf_total_time_ms,median_lpf_total_time_ms,median_lpf_over_spf_total_ratio
AR0204SR_n05_low_000,5,low,7469.531900016591,7517.932539992034,7519.3327000015415,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,7303.966399980709,7330.851800041273,14634.818200021982,0.4990814576685167,7319.010899984278,7410.640500020236,14729.651400004514,0.4968896208896047,-94.83319998253137,1.006479971167827,,,,,,,,,,,,,
AR0204SR_n05_low_001,5,low,12734.636100009084,12983.129809983075,12962.769699981436,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,12692.118200007826,12630.344000062905,25322.46220007073,0.5012197510545549,12987.744199926965,12709.496300085448,25697.240500012413,0.5054139645819438,-374.7782999416813,1.0148002313906361,,,,,,,,,,,,,
AR0204SR_n05_low_002,5,low,1967.8667000262067,2037.4071499682032,2039.425549970474,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,1960.3155000368133,2054.3322999728844,4014.6478000096977,0.4882907785913569,2021.2365000043064,2026.1042000493035,4047.34070005361,0.4993986545233352,-32.69290004391223,1.0081434042716857,,,,,,,,,,,,,
AR0204SR_n05_medium_000,5,medium,3623.2721999986097,3700.047339987941,3694.188449997455,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,3634.6948000136763,3714.740200084634,7349.43500009831,0.494554316075325,3898.7625000299886,3735.389499925077,7634.151999955066,0.5107001406381398,-284.71699985675514,1.038739984754331,,,,,,,,,,,,,
AR0204SR_n05_medium_001,5,medium,9038.989500026219,9248.22760001989,9248.298550024629,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,9219.4610000588,9158.427099930122,18377.888099988922,0.5016605254041326,9272.59479998611,9204.19319998473,18476.78799997084,0.5018510143646582,-98.89989998191595,1.005381461648032,,,,,,,,,,,,,
AR0204SR_n05_medium_002,5,medium,26427.554800058715,27371.72621001955,27326.829349971376,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,27041.847799904644,27391.17910002824,54433.026899932884,0.49679118248590337,27356.941600097343,26562.884499900974,53919.82609999832,0.5073633128816452,513.200799934566,0.9905718856884809,,,,,,,,,,,,,
AR0204SR_n05_high_000,5,high,3390.0647999253124,3435.079520032741,3432.877000013832,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,3248.905000044033,3520.144199952483,6769.049199996516,0.47996474897031405,3262.777400086634,3314.004399930127,6576.781800016761,0.49610546606218847,192.26739997975528,0.9715960994965358,,,,,,,,,,,,,
AR0204SR_n05_high_001,5,high,11794.2395999562,12343.540430022404,12188.530000043102,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,11876.041100011207,12164.219700032845,24040.260800044052,0.4940063337411649,11957.194199902005,12055.363800027408,24012.557999929413,0.4979558695886192,27.702800114639103,0.9988476497678183,,,,,,,,,,,,,
AR0204SR_n05_high_002,5,high,2739.340399974026,2817.916109994985,2827.9319000430405,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,2642.243399983272,2841.5720999473706,5483.8154999306425,0.48182572882269475,2708.7337999837473,2682.252199971117,5390.985999954864,0.5024560998686374,92.82949997577816,0.9830720964304959,,,,,,,,,,,,,
AR0204SR_n10_low_000,10,low,24448.37150000967,25197.08806000417,25110.798149951734,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,24172.101699979976,24575.602099997923,48747.7037999779,0.495861339421508,25584.846000070684,25485.7803999912,51070.62640006188,0.5009698882416622,-2322.9226000839844,1.0476519388403487,,,,,,,,,,,,,
AR0204SR_n10_low_001,10,low,30351.559299975634,30641.042160021607,30308.521950035356,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,29473.06520002894,29881.31299999077,59354.37820001971,0.4965609293506027,30235.332499956712,30571.46530004684,60806.79780000355,0.4972360590242255,-1452.4195999838412,1.0244703026807778,,,,,,,,,,,,,
AR0204SR_n10_low_002,10,low,3810.065899975598,3876.146510010585,3866.907200019341,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,3844.215999939479,3856.2395999906585,7700.455599930137,0.49921929294344036,3854.5020000310615,4039.9693000363186,7894.47130006738,0.48825334256369557,-194.01570013724267,1.0251953533942852,,,,,,,,,,,,,
AR0204SR_n10_medium_000,10,medium,79963.89459993225,70484.3418200151,78898.6313000205,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,55406.5178000601,55697.16580002569,111103.68360008579,0.49869199656326535,54650.504200020805,78462.77889993507,133113.28309995588,0.4105563541617652,-22009.59949987009,1.198099637984038,,,,,,,,,,,,,
AR0204SR_n10_medium_001,10,medium,29855.71770009119,29870.358860027045,29861.08455003705,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,29037.24069998134,29187.930800020695,58225.171500002034,0.49870597117915444,28826.251900056377,29144.651699927635,57970.90359998401,0.4972537964728969,254.26790001802146,0.9956330244554451,,,,,,,,,,,,,
AR0204SR_n10_medium_002,10,medium,5999.483199906535,6079.085269977804,6062.345999991521,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,5852.437200024724,5960.358800017275,11812.796000041999,0.49543200441317337,5874.04509994667,5954.2907000286505,11828.33579997532,0.49660790827048773,-15.539799933321774,1.001315505654484,,,,,,,,,,,,,
AR0204SR_n10_high_000,10,high,18812.379500013776,20292.05292998813,18975.35025002435,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,17351.69479995966,17700.644799973816,35052.339599933475,0.49502244352307345,17412.745199981146,23973.05570007302,41385.800900054164,0.42074201347540807,-6333.461300120689,1.1806858364493509,,,,,,,,,,,,,
AR0204SR_n10_high_001,10,high,58303.68719995022,46230.31533997273,38159.824749978725,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,35232.65709995758,36003.21990007069,71235.87700002827,0.494591469688,35227.07519994583,56230.10210006032,91457.17730000615,0.3851756225144668,-20221.300299977884,1.2838639903313025,,,,,,,,,,,,,
AR0204SR_n10_high_002,10,high,32494.94230002165,32383.650790003594,32052.127100003418,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,31247.58570000995,31806.198099977337,63053.783799987286,0.49557034989573856,31470.979399979115,33912.31139993761,65383.29079991672,0.48133061237748526,-2329.5069999294356,1.0369447614328564,,,,,,,,,,,,,
AR0204SR_n20_low_000,20,low,73050.90079992078,70308.96773998393,70294.33835000964,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,70959.79899994563,72587.44180004578,143547.2407999914,0.4943306371093263,70009.37739992514,71183.45630005933,141192.83369998448,0.49584228579678147,2354.407100006938,0.9835983813629173,,,,,,,,,,,,,
AR0204SR_n20_low_001,20,low,59098.997200024314,57620.29078999767,57351.494650007226,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,57243.26390004717,57610.82479998004,114854.0887000272,0.49839987890682386,57138.0129000172,58264.98630002607,115402.99920004327,0.4951172265546785,-548.9105000160635,1.0047791986008412,,,,,,,,,,,,,
AR0204SR_n20_low_002,20,low,36463.2469000062,36060.758710012306,36066.343749989755,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,35575.835400028154,36148.99669995066,71724.83209997881,0.4960044430698453,35968.10490009375,35826.2358000502,71794.34070014395,0.5009880242555335,-69.50860016513616,1.000969100911498,,,,,,,,,,,,,
AR0204SR_n20_medium_000,20,medium,61415.93500005547,60844.80762997409,60825.79154992709,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,59677.17979999725,60286.24759998638,119963.42739998363,0.49746144382004703,59900.810300023295,60684.396800003015,120585.20710002631,0.4967509012140696,-621.7797000426799,1.0051830771554195,,,,,,,,,,,,,
AR0204SR_n20_medium_001,20,medium,43796.829400002025,43512.69333999371,43525.65939998021,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,43069.36039996799,43636.04110002052,86705.40149998851,0.49673214880359784,43000.47500000801,42995.05960009992,85995.53460010793,0.5000314865180691,709.8668998805806,0.9918128872296303,,,,,,,,,,,,,
AR0204SR_n20_medium_002,20,medium,85973.43020001426,85346.29076002166,85294.61750003975,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,84549.1386000067,85074.0776999155,169623.2162999222,0.49845263192339007,81833.2175000105,84626.11340009607,166459.33090010658,0.4916108761071447,3163.8853998156264,0.9813475686357618,,,,,,,,,,,,,
AR0204SR_n20_high_000,20,high,29031.941000022925,28954.582489992026,28969.862949976232,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,28531.768099986948,28869.56249992363,57401.33059991058,0.4970576082783592,28548.405900015496,29525.29300004244,58073.698900057934,0.49158924678012916,-672.3683001473546,1.011713461920139,,,,,,,,,,,,,
AR0204SR_n20_high_001,20,high,190051.26199999359,154241.87324999366,187327.87545002066,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,46676.116900052875,47580.376900034025,94256.4938000869,0.4952031952201668,47426.67010007426,188959.4795999583,236386.14970003255,0.200632186616083,-142129.65589994565,2.5079030650280205,,,,,,,,,,,,,
AR0204SR_n20_high_002,20,high,66728.97519997787,64545.6587099703,64490.02794997068,execution_time_ms from Random pilot; permutation overhead not separately timed; no fabricated ordering_time_ms,62268.57670000754,62830.679500009865,125099.25620001741,0.49775337273347336,64006.77470001392,63956.84670004994,127963.62140006386,0.5001950866950221,-2864.36520004645,1.0228967404527707,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,runtime_aggregate,19,8,0,29621.783266667517,29694.560225932273,30003.65674074015,37166.54080001172,59625.44000740767,66861.101025944,57401.33059991058,57970.90359998401,1.006479971167827
