strategy,deterministic_soc,random_runs_lower_soc_count,random_runs_equal_soc_count,random_runs_higher_soc_count,deterministic_vs_random_mean_soc_diff,deterministic_vs_random_median_soc_diff,deterministic_vs_random_sampled_best_of_k_soc_diff,instance_id,agent_count,interaction_level,random_soc_mean,random_soc_median,random_sampled_best_of_k_soc,sampled_best_of_k_note
lpf,1862,0,10,0,0,0.0,0,AR0204SR_n10_low_002,10,low,1862,1862.0,1862,sampled best-of-K diagnostic; not the primary Random baseline
fixed,2935,4,6,0,55.19999999999982,0.0,138,AR0204SR_n10_medium_000,10,medium,2879.8,2935.0,2797,sampled best-of-K diagnostic; not the primary Random baseline
spf,2797,0,4,6,-82.80000000000018,-138.0,0,AR0204SR_n10_medium_000,10,medium,2879.8,2935.0,2797,sampled best-of-K diagnostic; not the primary Random baseline
lpf,2935,4,6,0,55.19999999999982,0.0,138,AR0204SR_n10_medium_000,10,medium,2879.8,2935.0,2797,sampled best-of-K diagnostic; not the primary Random baseline
fixed,2567,0,10,0,0,0.0,0,AR0204SR_n10_medium_001,10,medium,2567,2567.0,2567,sampled best-of-K diagnostic; not the primary Random baseline
spf,2567,0,10,0,0,0.0,0,AR0204SR_n10_medium_001,10,medium,2567,2567.0,2567,sampled best-of-K diagnostic; not the primary Random baseline
lpf,2567,0,10,0,0,0.0,0,AR0204SR_n10_medium_001,10,medium,2567,2567.0,2567,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1960,0,10,0,0,0.0,0,AR0204SR_n10_medium_002,10,medium,1960,1960.0,1960,sampled best-of-K diagnostic; not the primary Random baseline
spf,1960,0,10,0,0,0.0,0,AR0204SR_n10_medium_002,10,medium,1960,1960.0,1960,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1960,0,10,0,0,0.0,0,AR0204SR_n10_medium_002,10,medium,1960,1960.0,1960,sampled best-of-K diagnostic; not the primary Random baseline
fixed,2509,8,0,2,2.599999999999909,16.0,24,AR0204SR_n10_high_000,10,high,2506.4,2493.0,2485,sampled best-of-K diagnostic; not the primary Random baseline
spf,2487,1,2,7,-19.40000000000009,-6.0,2,AR0204SR_n10_high_000,10,high,2506.4,2493.0,2485,sampled best-of-K diagnostic; not the primary Random baseline
lpf,2564,8,2,0,57.59999999999991,71.0,79,AR0204SR_n10_high_000,10,high,2506.4,2493.0,2485,sampled best-of-K diagnostic; not the primary Random baseline
fixed,3183,8,2,0,133,221.0,221,AR0204SR_n10_high_001,10,high,3050,2962.0,2962,sampled best-of-K diagnostic; not the primary Random baseline
spf,2962,0,6,4,-88,0.0,0,AR0204SR_n10_high_001,10,high,3050,2962.0,2962,sampled best-of-K diagnostic; not the primary Random baseline
lpf,3181,6,2,2,131,219.0,219,AR0204SR_n10_high_001,10,high,3050,2962.0,2962,sampled best-of-K diagnostic; not the primary Random baseline
