map_name,instance_id,agent_count,interaction_level,catalogue_seed,manifest_sha256,spf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,spf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,soc_range,makespan_range,mapf7_three_strategy_soc_range,soc_sensitive,makespan_sensitive,mapf7_three_strategy_soc_sensitive,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,spf_agent_order,cdf_h_original_index_order,cdf_l_original_index_order,spf_cd_original_index_order,spf_cd_same_order,cdf_h_same_order_as_spf,cdf_l_same_order_as_spf,spf_cd_soc_equal,spf_cd_makespan_equal,cdf_h_order_diff_no_soc_diff,cdf_l_order_diff_no_soc_diff
AR0307SR,AR0307SR_n10_high_001,10,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2635,2635,2635,2635,506,506,506,506,0,0,0,False,False,False,3,3,1,0.6,4,2,0.4898979485566356,"[1, 9, 0, 3, 8, 2, 7, 5, 6, 4]","[9, 0, 3, 2, 7, 6, 1, 8, 5, 4]","[1, 8, 5, 4, 9, 0, 3, 2, 7, 6]","[1, 9, 0, 3, 8, 2, 7, 5, 6, 4]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n10_high_002,10,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,2550,2550,2550,2550,476,476,476,476,0,0,0,False,False,False,3,3,1,0.6,4,2,0.4898979485566356,"[6, 3, 5, 2, 9, 0, 1, 7, 8, 4]","[6, 3, 5, 2, 7, 4, 9, 0, 1, 8]","[9, 0, 1, 8, 6, 3, 5, 2, 7, 4]","[6, 3, 5, 2, 9, 0, 1, 7, 8, 4]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n20_low_000,20,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,5277,5277,5277,5277,489,489,489,489,0,0,0,False,False,False,0,0,0,0,20,1,0.0,"[15, 10, 4, 0, 16, 12, 7, 11, 1, 5, 2, 17, 14, 9, 6, 13, 19, 8, 18, 3]","[15, 10, 4, 0, 16, 12, 7, 11, 1, 5, 2, 17, 14, 9, 6, 13, 19, 8, 18, 3]","[15, 10, 4, 0, 16, 12, 7, 11, 1, 5, 2, 17, 14, 9, 6, 13, 19, 8, 18, 3]","[15, 10, 4, 0, 16, 12, 7, 11, 1, 5, 2, 17, 14, 9, 6, 13, 19, 8, 18, 3]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n20_low_001,20,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,4864,4864,4864,4864,447,447,447,447,0,0,0,False,False,False,0,0,0,0,20,1,0.0,"[10, 6, 17, 15, 4, 8, 11, 7, 0, 2, 19, 5, 14, 13, 18, 1, 16, 3, 12, 9]","[10, 6, 17, 15, 4, 8, 11, 7, 0, 2, 19, 5, 14, 13, 18, 1, 16, 3, 12, 9]","[10, 6, 17, 15, 4, 8, 11, 7, 0, 2, 19, 5, 14, 13, 18, 1, 16, 3, 12, 9]","[10, 6, 17, 15, 4, 8, 11, 7, 0, 2, 19, 5, 14, 13, 18, 1, 16, 3, 12, 9]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n20_low_002,20,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,5073,5073,5073,5073,498,498,498,498,0,0,0,False,False,False,0,0,0,0,20,1,0.0,"[3, 5, 6, 16, 9, 12, 15, 0, 7, 17, 10, 11, 19, 4, 18, 8, 1, 13, 14, 2]","[3, 5, 6, 16, 9, 12, 15, 0, 7, 17, 10, 11, 19, 4, 18, 8, 1, 13, 14, 2]","[3, 5, 6, 16, 9, 12, 15, 0, 7, 17, 10, 11, 19, 4, 18, 8, 1, 13, 14, 2]","[3, 5, 6, 16, 9, 12, 15, 0, 7, 17, 10, 11, 19, 4, 18, 8, 1, 13, 14, 2]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n20_medium_000,20,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,4761,4761,4761,4761,512,512,512,512,0,0,0,False,False,False,2,2,1,0.2,16,2,0.4,"[14, 8, 12, 4, 1, 9, 16, 13, 7, 2, 0, 5, 11, 3, 10, 17, 6, 15, 19, 18]","[11, 10, 17, 19, 14, 8, 12, 4, 1, 9, 16, 13, 7, 2, 0, 5, 3, 6, 15, 18]","[14, 8, 12, 4, 1, 9, 16, 13, 7, 2, 0, 5, 3, 6, 15, 18, 11, 10, 17, 19]","[14, 8, 12, 4, 1, 9, 16, 13, 7, 2, 0, 5, 11, 3, 10, 17, 6, 15, 19, 18]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n20_medium_001,20,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,5463,5463,5463,5463,487,487,487,487,0,0,0,False,False,False,1,1,1,0.1,18,2,0.3,"[6, 15, 19, 0, 8, 7, 9, 18, 2, 4, 16, 12, 13, 11, 17, 3, 10, 1, 14, 5]","[11, 10, 6, 15, 19, 0, 8, 7, 9, 18, 2, 4, 16, 12, 13, 17, 3, 1, 14, 5]","[6, 15, 19, 0, 8, 7, 9, 18, 2, 4, 16, 12, 13, 17, 3, 1, 14, 5, 11, 10]","[6, 15, 19, 0, 8, 7, 9, 18, 2, 4, 16, 12, 13, 11, 17, 3, 10, 1, 14, 5]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n20_medium_002,20,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,5330,5330,5330,5330,450,450,450,450,0,0,0,False,False,False,1,1,1,0.1,18,2,0.3,"[1, 11, 15, 3, 13, 0, 16, 10, 9, 2, 5, 7, 17, 12, 4, 18, 14, 6, 8, 19]","[10, 17, 1, 11, 15, 3, 13, 0, 16, 9, 2, 5, 7, 12, 4, 18, 14, 6, 8, 19]","[1, 11, 15, 3, 13, 0, 16, 9, 2, 5, 7, 12, 4, 18, 14, 6, 8, 19, 10, 17]","[1, 11, 15, 3, 13, 0, 16, 10, 9, 2, 5, 7, 17, 12, 4, 18, 14, 6, 8, 19]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n20_high_000,20,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,5565,5566,5565,5565,502,501,502,502,1,1,1,True,True,True,8,8,3,0.8,10,4,0.9273618495495703,"[10, 2, 11, 1, 13, 12, 7, 5, 0, 6, 15, 14, 4, 9, 17, 3, 19, 16, 18, 8]","[3, 15, 16, 18, 8, 1, 5, 14, 9, 17, 10, 2, 11, 13, 12, 7, 0, 6, 4, 19]","[10, 2, 11, 13, 12, 7, 0, 6, 4, 19, 1, 5, 14, 9, 17, 15, 16, 18, 8, 3]","[10, 2, 11, 1, 13, 12, 7, 5, 0, 6, 15, 14, 4, 9, 17, 3, 19, 16, 18, 8]",True,False,False,True,True,False,True
AR0307SR,AR0307SR_n20_high_001,20,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,5279,5279,5279,5279,499,499,499,499,0,0,0,False,False,False,8,8,3,0.8,9,4,0.8717797887081347,"[17, 3, 16, 5, 19, 11, 12, 2, 0, 13, 6, 10, 1, 4, 14, 8, 9, 7, 15, 18]","[14, 9, 7, 18, 5, 12, 2, 6, 1, 8, 15, 17, 3, 16, 19, 11, 0, 13, 10, 4]","[17, 3, 16, 19, 11, 0, 13, 10, 4, 5, 12, 2, 6, 1, 8, 15, 9, 7, 18, 14]","[17, 3, 16, 5, 19, 11, 12, 2, 0, 13, 6, 10, 1, 4, 14, 8, 9, 7, 15, 18]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n20_high_002,20,high,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,4955,4968,4977,4955,507,507,507,507,22,0,22,True,False,True,9,9,3,0.9,7,4,0.8306623862918074,"[11, 10, 8, 0, 16, 18, 7, 15, 3, 4, 14, 6, 19, 13, 2, 12, 5, 1, 17, 9]","[0, 13, 5, 17, 15, 3, 4, 6, 19, 2, 12, 1, 9, 11, 10, 8, 16, 18, 7, 14]","[11, 10, 8, 16, 18, 7, 14, 15, 3, 4, 6, 19, 2, 12, 1, 9, 13, 5, 17, 0]","[11, 10, 8, 0, 16, 18, 7, 15, 3, 4, 14, 6, 19, 13, 2, 12, 5, 1, 17, 9]",True,False,False,True,True,False,False
