map_name,instance_id,agent_count,interaction_level,catalogue_seed,manifest_sha256,spf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,spf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,soc_range,makespan_range,mapf7_three_strategy_soc_range,soc_sensitive,makespan_sensitive,mapf7_three_strategy_soc_sensitive,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,spf_agent_order,cdf_h_original_index_order,cdf_l_original_index_order,spf_cd_original_index_order,spf_cd_same_order,cdf_h_same_order_as_spf,cdf_l_same_order_as_spf,spf_cd_soc_equal,spf_cd_makespan_equal,cdf_h_order_diff_no_soc_diff,cdf_l_order_diff_no_soc_diff
AR0400SR,AR0400SR_n10_medium_001,10,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1935,1935,1935,1935,451,451,451,451,0,0,0,False,False,False,1,1,1,0.2,8,2,0.4,"[5, 8, 7, 0, 3, 2, 9, 1, 6, 4]","[2, 4, 5, 8, 7, 0, 3, 9, 1, 6]","[5, 8, 7, 0, 3, 9, 1, 6, 2, 4]","[5, 8, 7, 0, 3, 2, 9, 1, 6, 4]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n10_medium_002,10,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,2251,2251,2251,2251,369,369,369,369,0,0,0,False,False,False,1,1,1,0.2,8,2,0.4,"[0, 9, 6, 3, 2, 8, 4, 5, 1, 7]","[2, 7, 0, 9, 6, 3, 8, 4, 5, 1]","[0, 9, 6, 3, 8, 4, 5, 1, 2, 7]","[0, 9, 6, 3, 2, 8, 4, 5, 1, 7]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n10_high_000,10,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1922,1922,1922,1922,407,407,407,407,0,0,0,False,False,False,32,2,1,0.4,6,2,0.4898979485566356,"[1, 4, 6, 3, 2, 7, 5, 9, 8, 0]","[3, 7, 9, 0, 1, 4, 6, 2, 5, 8]","[1, 4, 6, 2, 5, 8, 3, 7, 9, 0]","[1, 4, 6, 3, 2, 7, 5, 9, 8, 0]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n10_high_001,10,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,2467,2467,2467,2467,421,421,421,421,0,0,0,False,False,False,16,1,1,0.2,8,2,0.4,"[9, 0, 2, 7, 3, 8, 5, 1, 4, 6]","[3, 1, 9, 0, 2, 7, 8, 5, 4, 6]","[9, 0, 2, 7, 8, 5, 4, 6, 3, 1]","[9, 0, 2, 7, 3, 8, 5, 1, 4, 6]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n10_high_002,10,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,2570,2570,2570,2570,409,409,409,409,0,0,0,False,False,False,63,1,1,0.2,8,2,0.4,"[8, 4, 0, 3, 6, 9, 2, 7, 1, 5]","[0, 9, 8, 4, 3, 6, 2, 7, 1, 5]","[8, 4, 3, 6, 2, 7, 1, 5, 0, 9]","[8, 4, 0, 3, 6, 9, 2, 7, 1, 5]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n20_low_000,20,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,4415,4415,4415,4415,484,484,484,484,0,0,0,False,False,False,0,0,0,0,20,1,0.0,"[10, 6, 5, 7, 19, 0, 9, 18, 16, 17, 8, 1, 3, 11, 14, 12, 15, 4, 13, 2]","[10, 6, 5, 7, 19, 0, 9, 18, 16, 17, 8, 1, 3, 11, 14, 12, 15, 4, 13, 2]","[10, 6, 5, 7, 19, 0, 9, 18, 16, 17, 8, 1, 3, 11, 14, 12, 15, 4, 13, 2]","[10, 6, 5, 7, 19, 0, 9, 18, 16, 17, 8, 1, 3, 11, 14, 12, 15, 4, 13, 2]",True,True,True,True,True,False,False
AR0400SR,AR0400SR_n20_low_001,20,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,4348,4348,4348,4348,478,478,478,478,0,0,0,False,False,False,0,0,0,0,20,1,0.0,"[9, 8, 5, 6, 14, 10, 12, 2, 0, 19, 4, 17, 11, 1, 16, 18, 15, 13, 3, 7]","[9, 8, 5, 6, 14, 10, 12, 2, 0, 19, 4, 17, 11, 1, 16, 18, 15, 13, 3, 7]","[9, 8, 5, 6, 14, 10, 12, 2, 0, 19, 4, 17, 11, 1, 16, 18, 15, 13, 3, 7]","[9, 8, 5, 6, 14, 10, 12, 2, 0, 19, 4, 17, 11, 1, 16, 18, 15, 13, 3, 7]",True,True,True,True,True,False,False
AR0400SR,AR0400SR_n20_low_002,20,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,5122,5122,5122,5122,484,484,484,484,0,0,0,False,False,False,0,0,0,0,20,1,0.0,"[14, 0, 9, 5, 19, 12, 8, 15, 2, 3, 1, 16, 11, 6, 17, 4, 7, 18, 13, 10]","[14, 0, 9, 5, 19, 12, 8, 15, 2, 3, 1, 16, 11, 6, 17, 4, 7, 18, 13, 10]","[14, 0, 9, 5, 19, 12, 8, 15, 2, 3, 1, 16, 11, 6, 17, 4, 7, 18, 13, 10]","[14, 0, 9, 5, 19, 12, 8, 15, 2, 3, 1, 16, 11, 6, 17, 4, 7, 18, 13, 10]",True,True,True,True,True,False,False
AR0400SR,AR0400SR_n20_medium_000,20,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,4957,4957,4957,4957,507,507,507,507,0,0,0,False,False,False,2,2,2,0.2,17,3,0.5099019513592785,"[9, 11, 0, 7, 15, 13, 6, 2, 5, 12, 3, 8, 1, 14, 16, 17, 18, 19, 10, 4]","[12, 18, 10, 9, 11, 0, 7, 15, 13, 6, 2, 5, 3, 8, 1, 14, 16, 17, 19, 4]","[9, 11, 0, 7, 15, 13, 6, 2, 5, 3, 8, 1, 14, 16, 17, 19, 4, 18, 10, 12]","[9, 11, 0, 7, 15, 13, 6, 2, 5, 12, 3, 8, 1, 14, 16, 17, 18, 19, 10, 4]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n20_medium_001,20,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,5594,5594,5594,5594,490,490,490,490,0,0,0,False,False,False,1,1,1,0.1,18,2,0.3,"[17, 9, 1, 7, 3, 18, 5, 2, 12, 16, 10, 13, 15, 8, 4, 6, 11, 14, 0, 19]","[1, 10, 17, 9, 7, 3, 18, 5, 2, 12, 16, 13, 15, 8, 4, 6, 11, 14, 0, 19]","[17, 9, 7, 3, 18, 5, 2, 12, 16, 13, 15, 8, 4, 6, 11, 14, 0, 19, 1, 10]","[17, 9, 1, 7, 3, 18, 5, 2, 12, 16, 10, 13, 15, 8, 4, 6, 11, 14, 0, 19]",True,False,False,True,True,True,True
