catalogue,instance_count,soc_sensitive_count,soc_sensitive_pct,makespan_sensitive_count,makespan_sensitive_pct,mapf7_three_strategy_soc_sensitive_count,max_soc_range,cdf_h_vs_spf_left_better,cdf_h_vs_spf_equal,cdf_h_vs_spf_right_better,cdf_h_vs_spf_mean_diff,cdf_l_vs_spf_left_better,cdf_l_vs_spf_equal,cdf_l_vs_spf_right_better,cdf_l_vs_spf_mean_diff,cdf_h_vs_cdf_l_left_better,cdf_h_vs_cdf_l_equal,cdf_h_vs_cdf_l_right_better,cdf_h_vs_cdf_l_mean_diff,spf_cd_vs_spf_left_better,spf_cd_vs_spf_equal,spf_cd_vs_spf_right_better,spf_cd_vs_spf_mean_diff,spf_cd_identical_ordering,spf_cd_differing_ordering
AR0204SR_primary,27,5,18.5%,1,3.7%,5,415,0,23,4,27.40740740740741,2,24,1,11.11111111111111,0,22,5,16.296296296296298,0,27,0,0,27,0
AR0204SR_held_out,27,3,11.1%,0,0.0%,3,264,1,26,0,-0.07407407407407407,0,25,2,9.851851851851851,3,24,0,-9.925925925925926,0,27,0,0,27,0
AR0400SR,27,2,7.4%,1,3.7%,2,396,0,27,0,0,1,25,1,14.62962962962963,1,25,1,-14.62962962962963,0,27,0,0,27,0
AR0307SR,27,2,7.4%,1,3.7%,2,22,0,25,2,0.5185185185185185,0,26,1,0.8148148148148148,1,25,1,-0.2962962962962963,0,27,0,0,27,0
