map_name,manifest_sha256,instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned,error_message,catalogue_seed
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_001,5,low,cdf_h,"[2, 4, 0, 1, 3]","[2, 4, 0, 1, 3]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,19246.077599935234,19729.179000016302,38975.256599951535,1560,502,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_001,5,low,cdf_l,"[2, 4, 0, 1, 3]","[2, 4, 0, 1, 3]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,19298.66089997813,19727.45170001872,39026.11259999685,1560,502,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_001,5,low,spf_cd,"[2, 4, 0, 1, 3]","[2, 4, 0, 1, 3]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,19343.38860004209,19585.187499877065,38928.576099919155,1560,502,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_002,5,low,spf,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]",,,,,,True,success,40927.27270000614,39764.63470002636,80691.9074000325,1993,473,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_002,5,low,cdf_h,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,39713.62329996191,41409.754200140014,81123.37750010192,1993,473,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_002,5,low,cdf_l,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,39512.24340009503,40268.79939995706,79781.04280005209,1993,473,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_low_002,5,low,spf_cd,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,39585.965199861676,40453.08959996328,80039.05479982495,1993,473,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_000,5,medium,spf,"[4, 0, 3, 2, 1]","[4, 0, 3, 2, 1]",,,,,,True,success,38485.16990011558,38780.222200090066,77265.39210020564,1203,374,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_000,5,medium,cdf_h,"[3, 1, 4, 0, 2]","[3, 1, 4, 0, 2]","[0, 1, 0, 1, 0]",1,1,5,"[0, 1, 0, 1, 0]",True,success,38391.34640013799,39012.57469994016,77403.92110007815,1203,374,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_000,5,medium,cdf_l,"[4, 0, 2, 3, 1]","[4, 0, 2, 3, 1]","[0, 1, 0, 1, 0]",1,1,5,"[0, 1, 0, 1, 0]",True,success,39063.16350004636,39026.46020008251,78089.62370012887,1203,374,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_000,5,medium,spf_cd,"[4, 0, 3, 2, 1]","[4, 0, 3, 2, 1]","[0, 1, 0, 1, 0]",1,1,5,"[0, 1, 0, 1, 0]",True,success,38921.703999862075,40540.88029987179,79462.58429973386,1203,374,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_001,5,medium,spf,"[3, 0, 2, 1, 4]","[3, 0, 2, 1, 4]",,,,,,True,success,28548.064300091937,28670.20760010928,57218.271900201216,1675,504,0,5,5,,2028
