instance_id,agent_count,interaction_level,strategy,agent_order,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,pp_low_level_searches,pp_agents_planned
AR0204SR_n10_medium_002,10,medium,lpf,"[3, 6, 4, 0, 5, 8, 7, 9, 2, 1]",True,success,5874.04509994667,5954.2907000286505,11828.33579997532,1960,441,0,,10,10
AR0204SR_n20_high_000,20,high,spf,"[17, 8, 10, 6, 11, 18, 5, 3, 15, 1, 4, 14, 9, 0, 13, 2, 16, 19, 7, 12]",True,success,28531.768099986948,28869.56249992363,57401.33059991058,4918,455,0,,20,20
AR0204SR_n20_high_000,20,high,lpf,"[12, 7, 19, 16, 2, 13, 0, 9, 14, 4, 1, 15, 3, 5, 18, 11, 6, 10, 8, 17]",True,success,28548.405900015496,29525.29300004244,58073.698900057934,4918,455,0,,20,20
AR0204SR_n20_high_001,20,high,spf,"[18, 13, 2, 16, 19, 1, 17, 9, 8, 15, 4, 7, 5, 11, 3, 10, 6, 12, 0, 14]",True,success,46676.116900052875,47580.376900034025,94256.4938000869,4742,490,0,,20,20
AR0204SR_n20_high_001,20,high,lpf,"[14, 0, 12, 6, 10, 3, 11, 5, 7, 4, 15, 8, 9, 17, 1, 19, 16, 2, 13, 18]",True,success,47426.67010007426,188959.4795999583,236386.14970003255,5461,490,0,,20,20
AR0204SR_n20_high_002,20,high,spf,"[7, 12, 11, 17, 3, 0, 5, 14, 15, 19, 4, 13, 16, 9, 1, 2, 18, 10, 8, 6]",True,success,62268.57670000754,62830.679500009865,125099.25620001741,4829,512,0,,20,20
AR0204SR_n20_high_002,20,high,lpf,"[6, 8, 10, 18, 2, 1, 9, 16, 13, 4, 19, 15, 14, 5, 0, 3, 17, 11, 12, 7]",True,success,64006.77470001392,63956.84670004994,127963.62140006386,4829,512,0,,20,20
AR0204SR_n20_low_000,20,low,spf,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]",True,success,70959.79899994563,72587.44180004578,143547.2407999914,5607,511,0,,20,20
AR0204SR_n20_low_000,20,low,lpf,"[18, 14, 8, 5, 0, 11, 16, 6, 4, 10, 12, 17, 19, 1, 2, 3, 9, 13, 15, 7]",True,success,70009.37739992514,71183.45630005933,141192.83369998448,5607,511,0,,20,20
AR0204SR_n20_low_001,20,low,spf,"[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]",True,success,57243.26390004717,57610.82479998004,114854.0887000272,5969,511,0,,20,20
AR0204SR_n20_low_001,20,low,lpf,"[2, 7, 11, 4, 12, 6, 16, 3, 17, 13, 9, 5, 14, 1, 18, 0, 8, 15, 10, 19]",True,success,57138.0129000172,58264.98630002607,115402.99920004327,5969,511,0,,20,20
AR0204SR_n20_low_002,20,low,spf,"[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]",True,success,35575.835400028154,36148.99669995066,71724.83209997881,4726,489,0,,20,20
AR0204SR_n20_low_002,20,low,lpf,"[12, 6, 5, 17, 7, 14, 13, 3, 19, 0, 1, 9, 11, 4, 18, 16, 2, 8, 15, 10]",True,success,35968.10490009375,35826.2358000502,71794.34070014395,4726,489,0,,20,20
AR0204SR_n20_medium_000,20,medium,spf,"[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]",True,success,59677.17979999725,60286.24759998638,119963.42739998363,5192,498,0,,20,20
AR0204SR_n20_medium_000,20,medium,lpf,"[18, 13, 15, 16, 17, 9, 0, 3, 12, 8, 2, 6, 10, 19, 4, 5, 11, 7, 1, 14]",True,success,59900.810300023295,60684.396800003015,120585.20710002631,5190,498,0,,20,20
AR0204SR_n20_medium_001,20,medium,spf,"[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]",True,success,43069.36039996799,43636.04110002052,86705.40149998851,5428,509,0,,20,20
AR0204SR_n20_medium_001,20,medium,lpf,"[2, 15, 7, 5, 6, 3, 12, 14, 1, 0, 17, 13, 10, 16, 9, 4, 18, 8, 11, 19]",True,success,43000.47500000801,42995.05960009992,85995.53460010793,5428,509,0,,20,20
AR0204SR_n20_medium_002,20,medium,spf,"[15, 17, 7, 18, 3, 11, 8, 10, 16, 12, 2, 0, 9, 4, 1, 19, 6, 13, 14, 5]",True,success,84549.1386000067,85074.0776999155,169623.2162999222,5565,471,0,,20,20
AR0204SR_n20_medium_002,20,medium,lpf,"[5, 14, 13, 6, 19, 1, 4, 9, 0, 2, 12, 16, 10, 8, 11, 3, 18, 7, 17, 15]",True,success,81833.2175000105,84626.11340009607,166459.33090010658,5565,471,0,,20,20
